#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.552,3.411)		
1	9209.284	13274.571	0.000	
2	54414.333	12601.048	0.000	
3	99589.002	12104.730	0.000	
4	144809.310	11587.972	0.000	
5	190011.089	11058.492	0.000	
6	235217.637	10591.887	0.000	
7	280532.353	10152.727	0.000	
8	325610.298	9687.816	0.000	
9	370891.637	9332.515	0.000	
10	416257.440	8899.381	0.000	
11	461227.081	8530.972	0.000	
12	506924.881	8175.284	0.000	
13	552035.113	7817.443	0.000	
14	597355.006	7501.472	0.000	
15	642685.933	7200.701	0.000	
16	687836.626	6891.014	0.000	
17	732623.171	6627.488	0.000	
18	778170.843	6331.844	0.000	
19	823081.631	6123.520	0.000	
20	868564.185	5869.943	0.000	
21	913857.922	5613.936	0.000	
22	958856.579	5411.470	0.000	
23	1004196.771	5165.445	0.000	
24	1049827.818	4985.963	0.000	
25	1094927.287	4784.113	0.000	
26	1140186.829	4597.752	0.000	
27	1185559.035	4447.216	0.000	
28	1230178.423	4269.175	0.000	
29	1275622.014	4089.749	0.000	
30	1321041.220	3930.291	0.000	
31	1366391.902	3787.397	0.000	
32	1411630.737	3651.035	0.000	
33	1456715.220	3525.520	0.000	
34	1501603.667	3373.716	0.000	
35	1547173.273	3253.676	0.000	
36	1592492.348	3124.874	0.000	
37	1637520.841	3009.372	0.000	
38	1683177.090	2897.162	0.000	
39	1728490.444	2797.182	0.000	
40	1773422.484	2689.430	0.000	
41	1818931.059	2598.883	0.000	
42	1864008.186	2499.576	0.000	
43	1909637.053	2400.340	0.000	
44	1954785.430	2349.552	0.000	
45	1999417.351	2248.423	0.000	
46	2044553.058	2163.053	0.000	
47	2090192.551	2095.553	0.000	
48	2135257.009	2035.831	0.000	
49	2180802.094	1978.521	0.000	
50	2225726.369	1897.149	0.000	
51	2271108.656	1840.285	0.000	
52	2315825.449	1775.659	0.000	
53	2362112.590	1716.046	0.000	
54	2406566.864	1650.667	0.000	
55	2452591.485	1603.853	0.000	
56	2497885.222	1560.400	0.000	
57	2542416.195	1494.445	0.000	
58	2587340.606	1451.937	0.000	
59	2632658.456	1416.863	0.000	
60	2678369.743	1365.509	0.000	
61	2723256.146	1324.047	0.000	
62	2768515.551	1297.940	0.000	
63	2814147.961	1254.566	0.000	
64	2858905.079	1207.874	0.000	
65	2904015.311	1194.117	0.000	
66	2949478.656	1128.898	0.000	
67	2995295.114	1100.540	0.000	
68	3040177.430	1069.360	0.000	
69	3085393.514	1058.771	0.000	
70	3130943.367	1020.996	0.000	
71	3175511.395	989.412	0.000	
72	3221719.248	969.820	0.000	
73	3266926.477	931.444	0.000	
74	3311105.291	918.052	0.000	
75	3356933.193	881.895	0.000	
76	3401714.424	868.847	0.000	
77	3446792.369	831.121	0.000	
78	3492167.027	820.377	0.000	
79	3537838.398	794.880	0.000	
80	3583806.483	790.574	0.000	
81	3628664.958	771.248	0.000	
82	3673802.436	743.827	0.000	
83	3719218.918	724.862	0.000	
84	3763482.195	692.681	0.000	
85	3809447.964	677.661	0.000	
86	3854243.364	660.905	0.000	
87	3899300.601	641.636	0.000	
88	3944619.677	646.788	0.000	
89	3990200.590	610.849	0.000	
90	4036043.341	618.133	0.000	
91	4080656.599	597.172	0.000	
92	4125515.074	582.595	0.000	
93	4170618.766	562.084	0.000	
94	4215967.677	548.700	0.000	
95	4261561.805	557.643	0.000	
96	4307401.150	522.021	0.000	
97	4351945.610	515.314	0.000	
98	4398267.217	495.256	0.000	
99	4443277.863	492.027	0.000	
100	4488517.652	480.160	0.000	
101	4533986.582	471.048	0.000	
102	4578105.045	485.819	0.000	
103	4624024.359	453.632	0.000	
104	4668577.674	445.432	0.000	
105	4714947.371	447.703	0.000	
106	4759935.539	411.817	0.000	
107	4805137.318	411.865	0.000	
108	4850552.710	399.565	0.000	
109	4894548.428	398.121	0.000	
110	4940383.414	398.548	0.000	
111	4986432.012	379.660	0.000	
112	5031038.321	393.114	0.000	
113	5075843.257	383.120	0.000	
114	5120846.819	362.955	0.000	
115	5166049.008	355.058	0.000	
116	5211449.822	342.638	0.000	
117	5257049.263	328.735	0.000	
118	5302847.330	323.969	0.000	
119	5347136.901	331.347	0.000	
120	5393324.864	329.559	0.000	
121	5437989.889	314.053	0.000	
122	5482839.101	313.383	0.000	
123	5527872.498	314.714	0.000	
124	5573090.080	312.385	0.000	
125	5618491.848	282.464	0.000	
126	5664077.802	291.181	0.000	
127	5709847.942	291.838	0.000	
128	5755802.267	292.202	0.000	
