#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.579,3.419)		
1	9209.284	14527.276	0.000	
2	54414.333	13820.745	0.000	
3	99589.002	13239.693	0.000	
4	144809.310	12694.873	0.000	
5	190011.089	12180.155	0.000	
6	235217.637	11713.567	0.000	
7	280532.353	11244.083	0.000	
8	325610.298	10798.255	0.000	
9	370891.637	10366.611	0.000	
10	416257.440	9985.397	0.000	
11	461227.081	9609.369	0.000	
12	506924.881	9215.744	0.000	
13	552035.113	8875.407	0.000	
14	597355.006	8536.689	0.000	
15	642685.933	8209.537	0.000	
16	687836.626	7898.432	0.000	
17	732623.171	7604.211	0.000	
18	778170.843	7313.758	0.000	
19	823081.631	7046.179	0.000	
20	868564.185	6787.829	0.000	
21	913857.922	6535.671	0.000	
22	958856.579	6294.575	0.000	
23	1004196.771	6073.282	0.000	
24	1049827.818	5844.432	0.000	
25	1094927.287	5643.501	0.000	
26	1140186.829	5429.206	0.000	
27	1185559.035	5246.250	0.000	
28	1230178.423	5079.192	0.000	
29	1275622.014	4900.688	0.000	
30	1321041.220	4728.259	0.000	
31	1366391.902	4574.583	0.000	
32	1411630.737	4423.021	0.000	
33	1456715.220	4266.530	0.000	
34	1501603.667	4127.663	0.000	
35	1547173.273	3989.807	0.000	
36	1592492.348	3853.709	0.000	
37	1637520.841	3734.741	0.000	
38	1683177.090	3599.614	0.000	
39	1728490.444	3486.044	0.000	
40	1773422.484	3383.172	0.000	
41	1818931.059	3276.046	0.000	
42	1864008.186	3158.964	0.000	
43	1909637.053	3066.331	0.000	
44	1954785.430	2973.826	0.000	
45	1999417.351	2881.654	0.000	
46	2044553.058	2780.559	0.000	
47	2090192.551	2706.235	0.000	
48	2135257.009	2615.926	0.000	
49	2180802.094	2540.443	0.000	
50	2225726.369	2465.971	0.000	
51	2271108.656	2394.954	0.000	
52	2315825.449	2328.125	0.000	
53	2362112.590	2261.580	0.000	
54	2406566.864	2195.302	0.000	
55	2452591.485	2132.542	0.000	
56	2497885.222	2070.201	0.000	
57	2542416.195	2014.912	0.000	
58	2587340.606	1961.922	0.000	
59	2632658.456	1899.388	0.000	
60	2678369.743	1848.168	0.000	
61	2723256.146	1805.293	0.000	
62	2768515.551	1757.971	0.000	
63	2814147.961	1716.324	0.000	
64	2858905.079	1668.467	0.000	
65	2904015.311	1627.374	0.000	
66	2949478.656	1585.002	0.000	
67	2995295.114	1538.003	0.000	
68	3040177.430	1510.743	0.000	
69	3085393.514	1468.479	0.000	
70	3130943.367	1431.020	0.000	
71	3175511.395	1386.395	0.000	
72	3221719.248	1362.129	0.000	
73	3266926.477	1325.831	0.000	
74	3311105.291	1301.628	0.000	
75	3356933.193	1262.002	0.000	
76	3401714.424	1234.602	0.000	
77	3446792.369	1208.489	0.000	
78	3492167.027	1178.139	0.000	
79	3537838.398	1160.645	0.000	
80	3583806.483	1133.894	0.000	
81	3628664.958	1100.744	0.000	
82	3673802.436	1086.210	0.000	
83	3719218.918	1057.511	0.000	
84	3763482.195	1034.837	0.000	
85	3809447.964	1009.648	0.000	
86	3854243.364	991.072	0.000	
87	3899300.601	970.530	0.000	
88	3944619.677	948.208	0.000	
89	3990200.590	924.540	0.000	
90	4036043.341	909.901	0.000	
91	4080656.599	889.056	0.000	
92	4125515.074	868.973	0.000	
93	4170618.766	855.201	0.000	
94	4215967.677	834.329	0.000	
95	4261561.805	819.127	0.000	
96	4307401.150	796.381	0.000	
97	4351945.610	789.353	0.000	
98	4398267.217	771.513	0.000	
99	4443277.863	754.787	0.000	
100	4488517.652	735.944	0.000	
101	4533986.582	724.408	0.000	
102	4578105.045	717.159	0.000	
103	4624024.359	704.653	0.000	
104	4668577.674	688.294	0.000	
105	4714947.371	678.655	0.000	
106	4759935.539	665.811	0.000	
107	4805137.318	651.279	0.000	
108	4850552.710	636.202	0.000	
109	4894548.428	625.709	0.000	
110	4940383.414	616.132	0.000	
111	4986432.012	599.147	0.000	
112	5031038.321	587.546	0.000	
113	5075843.257	580.426	0.000	
114	5120846.819	569.962	0.000	
115	5166049.008	557.456	0.000	
116	5211449.822	549.129	0.000	
117	5257049.263	535.194	0.000	
118	5302847.330	530.212	0.000	
119	5347136.901	521.335	0.000	
120	5393324.864	511.769	0.000	
121	5437989.889	504.255	0.000	
122	5482839.101	500.976	0.000	
123	5527872.498	485.937	0.000	
124	5573090.080	474.895	0.000	
125	5618491.848	469.173	0.000	
126	5664077.802	456.388	0.000	
127	5709847.942	455.388	0.000	
128	5755802.267	442.251	0.000	
