#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.573,3.439)		
1	6629.973	15647.828	0.000	
2	39174.120	15043.990	0.000	
3	71696.396	14563.777	0.000	
4	104251.527	14144.210	0.000	
5	136793.319	13681.931	0.000	
6	169338.545	13261.998	0.000	
7	201961.643	12828.184	0.000	
8	234414.284	12428.033	0.000	
9	267013.354	12031.795	0.000	
10	299673.230	11699.158	0.000	
11	332047.901	11357.510	0.000	
12	364946.790	10945.266	0.000	
13	397422.676	10688.205	0.000	
14	430049.501	10360.341	0.000	
15	462684.270	10030.147	0.000	
16	495189.284	9748.289	0.000	
17	527432.139	9408.637	0.000	
18	560222.948	9126.042	0.000	
19	592555.250	8875.786	0.000	
20	625299.178	8577.937	0.000	
21	657907.173	8302.838	0.000	
22	690302.733	8049.708	0.000	
23	722944.172	7796.345	0.000	
24	755795.004	7585.649	0.000	
25	788263.141	7404.320	0.000	
26	820846.518	7173.106	0.000	
27	853511.005	6967.302	0.000	
28	885633.520	6769.339	0.000	
29	918349.399	6528.231	0.000	
30	951047.722	6365.218	0.000	
31	983696.712	6184.751	0.000	
32	1016265.181	5968.984	0.000	
33	1048722.530	5797.844	0.000	
34	1081038.747	5627.817	0.000	
35	1113845.346	5462.098	0.000	
36	1146471.583	5311.235	0.000	
37	1178888.622	5150.346	0.000	
38	1211757.598	4985.562	0.000	
39	1244379.716	4869.234	0.000	
40	1276727.317	4720.927	0.000	
41	1309489.978	4581.850	0.000	
42	1341942.031	4460.512	0.000	
43	1374791.294	4299.706	0.000	
44	1407294.640	4234.043	0.000	
45	1439426.179	4067.542	0.000	
46	1471920.405	3948.477	0.000	
47	1504777.317	3859.485	0.000	
48	1537220.249	3717.334	0.000	
49	1570009.194	3627.051	0.000	
50	1602351.205	3527.781	0.000	
51	1635022.949	3435.077	0.000	
52	1667215.590	3331.016	0.000	
53	1700538.758	3237.874	0.000	
54	1732542.405	3164.590	0.000	
55	1765676.580	3083.971	0.000	
56	1798284.574	2978.547	0.000	
57	1830343.438	2910.078	0.000	
58	1862685.547	2821.677	0.000	
59	1895310.901	2741.061	0.000	
60	1928219.500	2663.063	0.000	
61	1960534.246	2584.107	0.000	
62	1993117.525	2532.622	0.000	
63	2025969.337	2449.242	0.000	
64	2058191.008	2389.485	0.000	
65	2090666.894	2320.341	0.000	
66	2123396.993	2257.183	0.000	
67	2156381.307	2206.555	0.000	
68	2188693.111	2135.998	0.000	
69	2221245.201	2104.276	0.000	
70	2254037.580	2037.329	0.000	
71	2286123.120	1973.418	0.000	
72	2319389.208	1936.557	0.000	
73	2351934.924	1870.735	0.000	
74	2383740.260	1822.125	0.000	
75	2416732.813	1775.337	0.000	
76	2448971.843	1731.916	0.000	
77	2481424.484	1692.108	0.000	
78	2514090.736	1648.536	0.000	
79	2546970.599	1604.628	0.000	
80	2580064.072	1568.047	0.000	
81	2612358.712	1522.515	0.000	
82	2644854.212	1476.791	0.000	
83	2677550.574	1444.311	0.000	
84	2709416.717	1411.084	0.000	
85	2742508.523	1354.522	0.000	
86	2774757.754	1340.457	0.000	
87	2807195.487	1300.639	0.000	
88	2839821.724	1272.074	0.000	
89	2872636.464	1228.139	0.000	
90	2905639.706	1207.357	0.000	
91	2937757.808	1176.825	0.000	
92	2970052.448	1145.338	0.000	
93	3002523.626	1111.269	0.000	
94	3035171.341	1093.013	0.000	
95	3067995.594	1060.298	0.000	
96	3100996.385	1034.019	0.000	
97	3133064.959	1011.486	0.000	
98	3166412.941	987.270	0.000	
99	3198817.132	954.499	0.000	
100	3231386.288	933.284	0.000	
101	3264120.409	914.704	0.000	
102	3295882.297	891.812	0.000	
103	3328940.659	871.303	0.000	
104	3361015.607	851.091	0.000	
105	3394398.210	828.813	0.000	
106	3426786.219	809.433	0.000	
107	3459328.012	788.309	0.000	
108	3492023.588	770.481	0.000	
109	3523697.110	754.338	0.000	
110	3556694.762	738.199	0.000	
111	3589846.199	718.027	0.000	
112	3621959.299	701.500	0.000	
113	3654215.395	694.645	0.000	
114	3686614.486	672.000	0.000	
115	3719156.573	658.947	0.000	
116	3751841.655	638.123	0.000	
117	3784669.734	630.078	0.000	
118	3817640.807	622.428	0.000	
119	3849525.880	599.801	0.000	
120	3882777.648	578.101	0.000	
121	3914933.020	575.545	0.000	
122	3947220.990	558.895	0.000	
123	3979641.560	556.046	0.000	
124	4012194.730	529.789	0.000	
125	4044880.499	525.337	0.000	
126	4077698.868	514.149	0.000	
127	4110649.836	507.061	0.000	
128	4143733.403	497.766	0.000	
