#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.542,3.414)		
1	9209.284	11623.941	0.000	
2	54414.333	11048.059	0.000	
3	99589.002	10607.916	0.000	
4	144809.310	10183.906	0.000	
5	190011.089	9766.349	0.000	
6	235217.637	9369.382	0.000	
7	280532.353	9067.666	0.000	
8	325610.298	8659.816	0.000	
9	370891.637	8330.722	0.000	
10	416257.440	7964.820	0.000	
11	461227.081	7673.069	0.000	
12	506924.881	7395.324	0.000	
13	552035.113	7097.790	0.000	
14	597355.006	6796.341	0.000	
15	642685.933	6487.152	0.000	
16	687836.626	6269.828	0.000	
17	732623.171	6041.937	0.000	
18	778170.843	5767.570	0.000	
19	823081.631	5556.550	0.000	
20	868564.185	5358.388	0.000	
21	913857.922	5179.595	0.000	
22	958856.579	4961.739	0.000	
23	1004196.771	4782.186	0.000	
24	1049827.818	4608.970	0.000	
25	1094927.287	4440.923	0.000	
26	1140186.829	4278.179	0.000	
27	1185559.035	4121.984	0.000	
28	1230178.423	3972.668	0.000	
29	1275622.014	3843.474	0.000	
30	1321041.220	3713.332	0.000	
31	1366391.902	3566.048	0.000	
32	1411630.737	3431.223	0.000	
33	1456715.220	3324.255	0.000	
34	1501603.667	3227.379	0.000	
35	1547173.273	3085.918	0.000	
36	1592492.348	2966.414	0.000	
37	1637520.841	2902.681	0.000	
38	1683177.090	2788.822	0.000	
39	1728490.444	2695.744	0.000	
40	1773422.484	2591.918	0.000	
41	1818931.059	2517.244	0.000	
42	1864008.186	2441.173	0.000	
43	1909637.053	2360.758	0.000	
44	1954785.430	2280.175	0.000	
45	1999417.351	2187.549	0.000	
46	2044553.058	2143.010	0.000	
47	2090192.551	2062.633	0.000	
48	2135257.009	2007.484	0.000	
49	2180802.094	1930.841	0.000	
50	2225726.369	1875.249	0.000	
51	2271108.656	1838.744	0.000	
52	2315825.449	1756.444	0.000	
53	2362112.590	1716.356	0.000	
54	2406566.864	1642.278	0.000	
55	2452591.485	1617.634	0.000	
56	2497885.222	1569.989	0.000	
57	2542416.195	1516.259	0.000	
58	2587340.606	1476.521	0.000	
59	2632658.456	1445.530	0.000	
60	2678369.743	1399.455	0.000	
61	2723256.146	1354.452	0.000	
62	2768515.551	1317.330	0.000	
63	2814147.961	1295.206	0.000	
64	2858905.079	1244.577	0.000	
65	2904015.311	1200.052	0.000	
66	2949478.656	1171.351	0.000	
67	2995295.114	1155.013	0.000	
68	3040177.430	1113.877	0.000	
69	3085393.514	1079.991	0.000	
70	3130943.367	1049.306	0.000	
71	3175511.395	1030.761	0.000	
72	3221719.248	997.497	0.000	
73	3266926.477	969.378	0.000	
74	3311105.291	936.151	0.000	
75	3356933.193	924.371	0.000	
76	3401714.424	913.600	0.000	
77	3446792.369	872.615	0.000	
78	3492167.027	865.188	0.000	
79	3537838.398	847.481	0.000	
80	3583806.483	818.863	0.000	
81	3628664.958	787.928	0.000	
82	3673802.436	793.858	0.000	
83	3719218.918	768.232	0.000	
84	3763482.195	744.282	0.000	
85	3809447.964	710.386	0.000	
86	3854243.364	702.188	0.000	
87	3899300.601	704.968	0.000	
88	3944619.677	696.533	0.000	
89	3990200.590	654.398	0.000	
90	4036043.341	641.898	0.000	
91	4080656.599	623.079	0.000	
92	4125515.074	637.212	0.000	
93	4170618.766	598.457	0.000	
94	4215967.677	587.730	0.000	
95	4261561.805	579.495	0.000	
96	4307401.150	558.745	0.000	
97	4351945.610	554.709	0.000	
98	4398267.217	552.203	0.000	
99	4443277.863	538.734	0.000	
100	4488517.652	536.639	0.000	
101	4533986.582	517.325	0.000	
102	4578105.045	497.791	0.000	
103	4624024.359	487.726	0.000	
104	4668577.674	480.289	0.000	
105	4714947.371	464.551	0.000	
106	4759935.539	449.977	0.000	
107	4805137.318	449.679	0.000	
108	4850552.710	454.632	0.000	
109	4894548.428	447.715	0.000	
110	4940383.414	417.994	0.000	
111	4986432.012	403.271	0.000	
112	5031038.321	396.697	0.000	
113	5075843.257	398.537	0.000	
114	5120846.819	393.890	0.000	
115	5166049.008	379.502	0.000	
116	5211449.822	373.237	0.000	
117	5257049.263	368.992	0.000	
118	5302847.330	357.817	0.000	
119	5347136.901	346.779	0.000	
120	5393324.864	361.710	0.000	
121	5437989.889	347.948	0.000	
122	5482839.101	338.895	0.000	
123	5527872.498	324.861	0.000	
124	5573090.080	333.344	0.000	
125	5618491.848	320.228	0.000	
126	5664077.802	319.405	0.000	
127	5709847.942	305.962	0.000	
128	5755802.267	291.070	0.000	
