#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.603,3.436)		
1	7461.460	13296.116	0.000	
2	44087.073	12804.105	0.000	
3	80688.073	12420.585	0.000	
4	117326.048	12060.923	0.000	
5	153949.012	11718.218	0.000	
6	190575.840	11392.151	0.000	
7	227290.306	11079.375	0.000	
8	263812.938	10770.973	0.000	
9	300500.363	10474.402	0.000	
10	337256.220	10187.905	0.000	
11	373691.103	9926.589	0.000	
12	410715.948	9649.904	0.000	
13	447264.740	9393.046	0.000	
14	483983.400	9159.790	0.000	
15	520711.002	8920.649	0.000	
16	557292.575	8689.751	0.000	
17	593579.111	8466.809	0.000	
18	630482.322	8252.095	0.000	
19	666869.521	8043.208	0.000	
20	703719.972	7837.903	0.000	
21	740417.440	7643.892	0.000	
22	776875.833	7460.534	0.000	
23	813610.940	7275.893	0.000	
24	850581.701	7096.420	0.000	
25	887121.773	6932.014	0.000	
26	923791.537	6759.066	0.000	
27	960552.582	6600.928	0.000	
28	996703.686	6445.234	0.000	
29	1033522.569	6294.409	0.000	
30	1070321.694	6149.138	0.000	
31	1107065.300	6010.083	0.000	
32	1143718.287	5865.563	0.000	
33	1180246.217	5737.409	0.000	
34	1216615.315	5606.848	0.000	
35	1253536.296	5479.504	0.000	
36	1290254.295	5358.435	0.000	
37	1326736.860	5240.725	0.000	
38	1363728.041	5122.856	0.000	
39	1400441.404	5011.747	0.000	
40	1436845.822	4907.159	0.000	
41	1473717.355	4794.749	0.000	
42	1510239.324	4700.975	0.000	
43	1547208.319	4603.451	0.000	
44	1583788.016	4501.887	0.000	
45	1619949.275	4416.680	0.000	
46	1656518.707	4321.753	0.000	
47	1693496.311	4229.435	0.000	
48	1730008.016	4151.366	0.000	
49	1766909.129	4070.644	0.000	
50	1803307.256	3984.827	0.000	
51	1840076.469	3905.680	0.000	
52	1876306.493	3836.133	0.000	
53	1913808.828	3750.158	0.000	
54	1949826.155	3675.136	0.000	
55	1987115.795	3608.199	0.000	
56	2023813.263	3536.120	0.000	
57	2059892.733	3466.706	0.000	
58	2096290.970	3406.352	0.000	
59	2133007.976	3338.798	0.000	
60	2170043.748	3279.082	0.000	
61	2206411.191	3219.719	0.000	
62	2243080.844	3156.603	0.000	
63	2280052.709	3104.126	0.000	
64	2316315.404	3043.127	0.000	
65	2352864.195	2990.041	0.000	
66	2389699.083	2941.080	0.000	
67	2426820.066	2887.217	0.000	
68	2463184.198	2836.932	0.000	
69	2499818.751	2789.176	0.000	
70	2536723.728	2739.709	0.000	
71	2572833.220	2693.016	0.000	
72	2610271.316	2643.122	0.000	
73	2646898.695	2601.661	0.000	
74	2682692.841	2558.536	0.000	
75	2719823.097	2515.975	0.000	
76	2756105.328	2467.435	0.000	
77	2792627.960	2430.128	0.000	
78	2829390.992	2393.344	0.000	
79	2866394.425	2346.923	0.000	
80	2903638.258	2306.056	0.000	
81	2939983.073	2273.232	0.000	
82	2976553.940	2232.665	0.000	
83	3013350.857	2193.643	0.000	
84	3049213.437	2162.699	0.000	
85	3086455.393	2131.635	0.000	
86	3122749.104	2093.740	0.000	
87	3159254.959	2064.558	0.000	
88	3195972.958	2028.371	0.000	
89	3232903.100	2002.450	0.000	
90	3270045.386	1968.186	0.000	
91	3306191.524	1943.920	0.000	
92	3342536.339	1905.930	0.000	
93	3379079.832	1877.872	0.000	
94	3415822.003	1851.107	0.000	
95	3452762.852	1821.496	0.000	
96	3489902.379	1791.756	0.000	
97	3525992.776	1767.248	0.000	
98	3563523.036	1742.959	0.000	
99	3599991.142	1713.261	0.000	
100	3636644.901	1689.783	0.000	
101	3673484.314	1667.307	0.000	
102	3709229.564	1643.125	0.000	
103	3746433.881	1614.219	0.000	
104	3782531.453	1592.857	0.000	
105	3820100.676	1565.688	0.000	
106	3856550.570	1543.938	0.000	
107	3893173.534	1519.743	0.000	
108	3929969.569	1503.182	0.000	
109	3965615.369	1483.812	0.000	
110	4002751.364	1457.362	0.000	
111	4040060.429	1436.308	0.000	
112	4076200.937	1420.132	0.000	
113	4112502.375	1401.453	0.000	
114	4148964.741	1374.045	0.000	
115	4185588.036	1355.686	0.000	
116	4222372.261	1341.783	0.000	
117	4259317.414	1319.230	0.000	
118	4296423.497	1304.547	0.000	
119	4332307.380	1284.809	0.000	
120	4369729.360	1270.610	0.000	
121	4405917.441	1246.772	0.000	
122	4442254.750	1231.636	0.000	
123	4478741.289	1212.162	0.000	
124	4515377.057	1195.598	0.000	
125	4552162.054	1179.918	0.000	
126	4589096.281	1159.001	0.000	
127	4626179.736	1144.349	0.000	
128	4663412.421	1130.585	0.000	
