#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.559,3.417)		
1	18639.485	12383.875	0.000	
2	110133.991	11516.442	0.000	
3	201567.008	10969.658	0.000	
4	293092.396	10462.608	0.000	
5	384580.284	9952.419	0.000	
6	476077.822	9360.560	0.000	
7	567794.292	8978.701	0.000	
8	659031.540	8502.783	0.000	
9	750680.455	8122.226	0.000	
10	842500.324	7710.046	0.000	
11	933518.365	7404.518	0.000	
12	1026010.193	7037.218	0.000	
13	1117312.789	6692.509	0.000	
14	1209039.737	6411.201	0.000	
15	1300789.019	6112.165	0.000	
16	1392173.507	5907.919	0.000	
17	1482820.964	5684.168	0.000	
18	1575008.936	5420.680	0.000	
19	1665907.860	5235.821	0.000	
20	1757964.032	4983.241	0.000	
21	1849638.039	4802.618	0.000	
22	1940714.810	4629.646	0.000	
23	2032482.842	4455.759	0.000	
24	2124839.562	4258.109	0.000	
25	2216120.375	4117.726	0.000	
26	2307725.173	3992.807	0.000	
27	2399558.002	3821.498	0.000	
28	2489867.135	3728.117	0.000	
29	2581844.448	3580.414	0.000	
30	2673772.404	3462.563	0.000	
31	2765561.667	3331.993	0.000	
32	2857124.554	3217.983	0.000	
33	2948375.037	3131.408	0.000	
34	3039228.741	3024.917	0.000	
35	3131461.106	2872.006	0.000	
36	3223186.399	2820.389	0.000	
37	3314323.556	2717.373	0.000	
38	3406731.286	2622.086	0.000	
39	3498444.998	2552.609	0.000	
40	3589386.937	2463.153	0.000	
41	3681495.773	2385.036	0.000	
42	3772731.366	2304.851	0.000	
43	3865083.674	2218.202	0.000	
44	3956463.475	2184.890	0.000	
45	4046797.976	2112.020	0.000	
46	4138152.134	2025.310	0.000	
47	4230525.949	1982.987	0.000	
48	4321735.899	1906.437	0.000	
49	4413918.632	1850.882	0.000	
50	4504844.854	1806.314	0.000	
51	4596698.087	1719.254	0.000	
52	4687204.369	1694.906	0.000	
53	4780889.014	1634.178	0.000	
54	4870863.960	1598.116	0.000	
55	4964017.269	1532.057	0.000	
56	5055691.277	1501.255	0.000	
57	5145821.460	1444.927	0.000	
58	5236747.958	1411.744	0.000	
59	5328470.769	1367.392	0.000	
60	5420989.895	1326.170	0.000	
61	5511839.463	1292.855	0.000	
62	5603443.986	1247.981	0.000	
63	5695803.463	1217.724	0.000	
64	5786391.361	1178.062	0.000	
65	5877693.957	1131.800	0.000	
66	5969711.251	1117.472	0.000	
67	6062443.242	1090.315	0.000	
68	6153284.538	1039.251	0.000	
69	6244801.378	1023.795	0.000	
70	6336993.761	982.061	0.000	
71	6427198.944	951.406	0.000	
72	6520723.113	934.485	0.000	
73	6612222.030	906.022	0.000	
74	6701639.446	867.341	0.000	
75	6794394.599	843.503	0.000	
76	6885031.302	823.876	0.000	
77	6976268.549	796.683	0.000	
78	7068106.341	778.440	0.000	
79	7160544.678	756.677	0.000	
80	7253583.558	715.529	0.000	
81	7344376.602	705.852	0.000	
82	7435734.344	679.977	0.000	
83	7527656.786	676.667	0.000	
84	7617245.156	656.139	0.000	
85	7710279.349	644.219	0.000	
86	7800944.728	611.561	0.000	
87	7892140.064	602.212	0.000	
88	7983865.358	576.115	0.000	
89	8076120.608	565.034	0.000	
90	8168905.815	534.765	0.000	
91	8259202.541	544.463	0.000	
92	8349995.584	506.078	0.000	
93	8441284.945	494.345	0.000	
94	8533070.623	496.000	0.000	
95	8625352.620	470.335	0.000	
96	8718130.933	464.824	0.000	
97	8808288.414	444.095	0.000	
98	8902042.820	428.060	0.000	
99	8993143.856	416.859	0.000	
100	9084708.673	415.216	0.000	
101	9176737.271	393.407	0.000	
102	9266032.538	366.325	0.000	
103	9358972.707	366.400	0.000	
104	9449148.110	358.309	0.000	
105	9542999.849	347.826	0.000	
106	9634055.389	335.162	0.000	
107	9725543.277	320.521	0.000	
108	9817463.513	317.534	0.000	
109	9906510.345	296.041	0.000	
110	9999279.835	295.391	0.000	
111	10092481.674	294.238	0.000	
112	10182764.337	284.303	0.000	
113	10273449.018	265.936	0.000	
114	10364535.715	270.581	0.000	
115	10456024.431	257.934	0.000	
116	10547915.163	258.046	0.000	
117	10640207.913	248.984	0.000	
118	10732902.680	232.728	0.000	
119	10822544.266	229.815	0.000	
120	10916028.178	230.864	0.000	
121	11006429.682	217.372	0.000	
122	11097203.976	215.535	0.000	
123	11188351.059	189.431	0.000	
124	11279870.932	198.921	0.000	
125	11371763.594	193.892	0.000	
126	11464029.047	180.895	0.000	
127	11556667.289	177.432	0.000	
128	11649678.320	186.796	0.000	
