#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.593,3.431)		
1	10235.810	12841.286	0.000	
2	10762.070	12777.381	0.000	
3	11334.639	12764.997	0.000	
4	11922.048	12752.780	0.000	
5	12541.720	12759.189	0.000	
6	13194.965	12743.100	0.000	
7	13883.126	12752.404	0.000	
8	14588.779	12771.045	0.000	
9	15350.469	12766.975	0.000	
10	16151.315	12770.736	0.000	
11	16992.807	12815.619	0.000	
12	17876.473	12776.251	0.000	
13	18803.874	12775.203	0.000	
14	19776.609	12752.767	0.000	
15	20818.766	12733.687	0.000	
16	21887.681	12744.562	0.000	
17	23030.573	12728.695	0.000	
18	24226.769	12741.508	0.000	
19	25502.939	12713.587	0.000	
20	26811.863	12708.469	0.000	
21	28205.798	12698.917	0.000	
22	29688.670	12689.381	0.000	
23	31209.530	12681.103	0.000	
24	32852.959	12684.710	0.000	
25	34538.555	12651.427	0.000	
26	36355.296	12625.738	0.000	
27	38249.036	12643.061	0.000	
28	40222.064	12640.008	0.000	
29	42308.716	12598.359	0.000	
30	44513.788	12583.884	0.000	
31	46842.222	12577.670	0.000	
32	49264.554	12576.694	0.000	
33	51818.789	12546.787	0.000	
34	54510.231	12523.271	0.000	
35	57344.333	12526.679	0.000	
36	60326.691	12521.915	0.000	
37	63502.263	12440.472	0.000	
38	66799.508	12406.494	0.000	
39	70262.695	12410.451	0.000	
40	73898.000	12352.810	0.000	
41	77755.144	12337.511	0.000	
42	81799.416	12290.977	0.000	
43	86037.501	12262.140	0.000	
44	90523.057	12262.966	0.000	
45	95218.623	12216.243	0.000	
46	100180.653	12185.337	0.000	
47	105369.737	12134.772	0.000	
48	110845.247	12109.589	0.000	
49	116618.849	12057.082	0.000	
50	122702.537	12008.926	0.000	
51	129108.627	11948.624	0.000	
52	135792.405	11960.748	0.000	
53	142879.521	11935.787	0.000	
54	150269.895	11879.892	0.000	
55	158089.861	11834.241	0.000	
56	166302.236	11757.418	0.000	
57	174981.628	11710.126	0.000	
58	184082.723	11597.786	0.000	
59	193617.291	11592.468	0.000	
60	203675.515	11525.389	0.000	
61	214278.626	11453.917	0.000	
62	225444.855	11399.910	0.000	
63	237196.338	11344.128	0.000	
64	249480.298	11278.286	0.000	
65	262472.922	11188.956	0.000	
66	276120.806	11127.736	0.000	
67	290452.467	11036.710	0.000	
68	305576.767	10957.402	0.000	
69	321436.083	10853.430	0.000	
70	338149.004	10793.582	0.000	
71	355749.506	10684.478	0.000	
72	374277.097	10581.139	0.000	
73	393758.444	10475.261	0.000	
74	414234.755	10364.358	0.000	
75	435743.640	10263.481	0.000	
76	458431.044	10155.771	0.000	
77	482234.465	10031.543	0.000	
78	507302.049	9907.768	0.000	
79	533689.001	9788.101	0.000	
80	561446.726	9637.689	0.000	
81	590622.141	9509.132	0.000	
82	621274.792	9388.671	0.000	
83	653582.189	9113.228	0.000	
84	687610.378	9120.919	0.000	
85	723427.183	8955.491	0.000	
86	760970.372	8749.526	0.000	
87	800578.355	8662.171	0.000	
88	842189.341	8494.932	0.000	
89	886027.620	8338.267	0.000	
90	932028.198	8188.641	0.000	
91	980576.566	8003.919	0.000	
92	1031469.850	7817.992	0.000	
93	1085106.252	7579.064	0.000	
94	1141595.101	7464.315	0.000	
95	1200891.330	7275.757	0.000	
96	1263429.232	7076.929	0.000	
97	1328991.275	6875.095	0.000	
98	1398230.106	6692.439	0.000	
99	1470931.036	6500.206	0.000	
100	1547410.008	6298.258	0.000	
101	1627812.381	6030.408	0.000	
102	1712494.786	5891.408	0.000	
103	1801412.849	5700.297	0.000	
104	1895139.245	5503.589	0.000	
105	1993674.163	5293.685	0.000	
106	2097397.182	5080.159	0.000	
107	2206532.964	4898.900	0.000	
108	2321279.123	4699.886	0.000	
109	2441849.167	4502.707	0.000	
110	2568716.128	4281.993	0.000	
111	2702384.318	4093.195	0.000	
112	2842843.168	3894.690	0.000	
113	2990635.419	3701.966	0.000	
114	3146299.180	3507.299	0.000	
115	3309883.498	3309.645	0.000	
116	3481968.593	3127.641	0.000	
117	3662881.528	2958.493	0.000	
118	3853565.645	2753.899	0.000	
119	4053802.615	2571.676	0.000	
120	4264554.791	2339.671	0.000	
121	4486262.970	2237.607	0.000	
122	4719660.712	2070.945	0.000	
123	4965221.084	1920.085	0.000	
124	5223413.341	1760.745	0.000	
125	5494718.522	1621.198	0.000	
126	5780737.559	1479.905	0.000	
127	6081314.953	1349.693	0.000	
128	6397381.302	1214.264	0.000	
