#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.597,3.433)		
1	12415.406	11957.631	0.000	
2	13053.726	11924.086	0.000	
3	13748.218	11902.549	0.000	
4	14460.708	11915.296	0.000	
5	15212.332	11891.563	0.000	
6	16004.677	11869.470	0.000	
7	16839.375	11868.186	0.000	
8	17695.288	11879.152	0.000	
9	18619.171	11859.450	0.000	
10	19590.548	11850.969	0.000	
11	20611.226	11839.053	0.000	
12	21683.058	11845.111	0.000	
13	22807.938	11822.863	0.000	
14	23987.805	11826.255	0.000	
15	25251.877	11830.070	0.000	
16	26548.406	11807.001	0.000	
17	27934.663	11774.743	0.000	
18	29385.576	11749.857	0.000	
19	30933.490	11798.220	0.000	
20	32521.134	11770.302	0.000	
21	34211.892	11744.570	0.000	
22	36010.524	11767.347	0.000	
23	37855.233	11753.375	0.000	
24	39848.611	11738.302	0.000	
25	41893.134	11740.024	0.000	
26	44096.729	11688.382	0.000	
27	46393.719	11682.515	0.000	
28	48786.880	11687.641	0.000	
29	51317.860	11655.454	0.000	
30	53992.476	11639.546	0.000	
31	56816.724	11625.979	0.000	
32	59754.863	11629.579	0.000	
33	62852.991	11584.860	0.000	
34	66117.545	11604.969	0.000	
35	69555.136	11544.747	0.000	
36	73172.551	11539.217	0.000	
37	77024.325	11519.460	0.000	
38	81023.679	11506.986	0.000	
39	85224.311	11492.567	0.000	
40	89633.712	11450.657	0.000	
41	94312.189	11416.808	0.000	
42	99217.641	11382.101	0.000	
43	104358.177	11363.966	0.000	
44	109798.880	11326.828	0.000	
45	115494.311	11299.290	0.000	
46	121512.947	11285.044	0.000	
47	127806.985	11222.720	0.000	
48	134448.441	11201.014	0.000	
49	141451.464	11170.700	0.000	
50	148830.601	11127.832	0.000	
51	156600.794	11084.382	0.000	
52	164707.804	11093.312	0.000	
53	173304.037	11021.814	0.000	
54	182268.105	10946.710	0.000	
55	191753.241	10935.338	0.000	
56	201714.345	10865.573	0.000	
57	212241.911	10826.463	0.000	
58	223280.977	10772.966	0.000	
59	234845.820	10735.427	0.000	
60	247045.825	10673.146	0.000	
61	259906.743	10607.342	0.000	
62	273450.690	10565.668	0.000	
63	287704.513	10492.088	0.000	
64	302604.198	10434.954	0.000	
65	318363.449	10366.481	0.000	
66	334917.490	10318.647	0.000	
67	352300.910	10235.433	0.000	
68	370645.751	10127.653	0.000	
69	389882.123	10055.726	0.000	
70	410153.864	9975.266	0.000	
71	431502.187	9894.145	0.000	
72	453975.011	9788.669	0.000	
73	477604.682	9686.578	0.000	
74	502441.182	9628.535	0.000	
75	528530.132	9516.140	0.000	
76	556048.553	9410.532	0.000	
77	584920.632	9305.331	0.000	
78	615326.064	9184.848	0.000	
79	647331.807	9087.674	0.000	
80	681000.215	8950.318	0.000	
81	716388.191	8823.979	0.000	
82	753567.965	8688.783	0.000	
83	792754.842	8567.574	0.000	
84	834028.935	8414.230	0.000	
85	877472.508	8284.074	0.000	
86	923010.079	8144.005	0.000	
87	971052.116	8009.507	0.000	
88	1021523.673	7838.053	0.000	
89	1074696.798	7680.589	0.000	
90	1130492.660	7512.039	0.000	
91	1189378.833	7381.940	0.000	
92	1251109.244	7199.916	0.000	
93	1316166.888	7036.358	0.000	
94	1384684.374	6849.292	0.000	
95	1456607.039	6683.514	0.000	
96	1532461.654	6502.846	0.000	
97	1611984.363	6315.824	0.000	
98	1695966.790	6125.223	0.000	
99	1784148.530	5951.616	0.000	
100	1876912.801	5749.352	0.000	
101	1974435.916	5564.854	0.000	
102	2077150.445	5373.167	0.000	
103	2185002.565	5173.326	0.000	
104	2298686.896	4993.483	0.000	
105	2418203.668	4785.816	0.000	
106	2544013.287	4576.723	0.000	
107	2676388.252	4386.671	0.000	
108	2815568.259	4200.968	0.000	
109	2961812.278	3996.218	0.000	
110	3115694.069	3801.009	0.000	
111	3277825.330	3596.045	0.000	
112	3448193.243	3403.378	0.000	
113	3627456.118	3236.653	0.000	
114	3816266.651	3031.194	0.000	
115	4014684.328	2847.027	0.000	
116	4223412.924	2656.565	0.000	
117	4442849.144	2468.621	0.000	
118	4674137.205	2303.865	0.000	
119	4917012.287	2131.888	0.000	
120	5172641.665	1958.340	0.000	
121	5441559.997	1800.229	0.000	
122	5724657.047	1650.994	0.000	
123	6022506.619	1505.318	0.000	
124	6335677.885	1362.332	0.000	
125	6664754.319	1222.320	0.000	
126	7011677.751	1095.292	0.000	
127	7376259.573	983.518	0.000	
128	7759628.539	870.544	0.000	
