#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.586,3.430)		
1	7461.460	13192.958	0.000	
2	44087.073	12744.583	0.000	
3	80688.073	12415.017	0.000	
4	117326.048	12091.834	0.000	
5	153949.012	11769.294	0.000	
6	190575.840	11463.661	0.000	
7	227290.306	11166.204	0.000	
8	263812.938	10875.494	0.000	
9	300500.363	10604.976	0.000	
10	337256.220	10347.064	0.000	
11	373691.103	10088.429	0.000	
12	410715.948	9836.691	0.000	
13	447264.740	9596.260	0.000	
14	483983.400	9364.524	0.000	
15	520711.002	9125.394	0.000	
16	557292.575	8888.824	0.000	
17	593579.111	8663.641	0.000	
18	630482.322	8448.833	0.000	
19	666869.521	8250.851	0.000	
20	703719.972	8074.786	0.000	
21	740417.440	7920.700	0.000	
22	776875.833	7744.501	0.000	
23	813610.940	7567.590	0.000	
24	850581.701	7399.384	0.000	
25	887121.773	7234.766	0.000	
26	923791.537	7067.037	0.000	
27	960552.582	6919.915	0.000	
28	996703.686	6776.944	0.000	
29	1033522.569	6626.347	0.000	
30	1070321.694	6487.750	0.000	
31	1107065.300	6351.969	0.000	
32	1143718.287	6215.836	0.000	
33	1180246.217	6085.185	0.000	
34	1216615.315	5963.550	0.000	
35	1253536.296	5836.075	0.000	
36	1290254.295	5722.700	0.000	
37	1326736.860	5604.235	0.000	
38	1363728.041	5489.112	0.000	
39	1400441.404	5374.367	0.000	
40	1436845.822	5269.649	0.000	
41	1473717.355	5170.083	0.000	
42	1510239.324	5071.429	0.000	
43	1547208.319	4968.859	0.000	
44	1583788.016	4872.763	0.000	
45	1619949.275	4782.874	0.000	
46	1656518.707	4690.253	0.000	
47	1693496.311	4609.935	0.000	
48	1730008.016	4515.231	0.000	
49	1766909.129	4433.053	0.000	
50	1803307.256	4354.077	0.000	
51	1840076.469	4271.463	0.000	
52	1876306.493	4187.793	0.000	
53	1913808.828	4108.349	0.000	
54	1949826.155	4047.835	0.000	
55	1987115.795	3973.877	0.000	
56	2023813.263	3901.454	0.000	
57	2059892.733	3834.504	0.000	
58	2096290.970	3764.658	0.000	
59	2133007.976	3704.858	0.000	
60	2170043.748	3633.946	0.000	
61	2206411.191	3574.480	0.000	
62	2243080.844	3516.384	0.000	
63	2280052.709	3449.148	0.000	
64	2316315.404	3396.209	0.000	
65	2352864.195	3340.900	0.000	
66	2389699.083	3283.350	0.000	
67	2426820.066	3227.279	0.000	
68	2463184.198	3169.000	0.000	
69	2499818.751	3119.862	0.000	
70	2536723.728	3074.769	0.000	
71	2572833.220	3018.168	0.000	
72	2610271.316	2975.328	0.000	
73	2646898.695	2920.034	0.000	
74	2682692.841	2881.088	0.000	
75	2719823.097	2831.499	0.000	
76	2756105.328	2791.088	0.000	
77	2792627.960	2744.037	0.000	
78	2829390.992	2707.281	0.000	
79	2866394.425	2660.662	0.000	
80	2903638.258	2621.074	0.000	
81	2939983.073	2582.653	0.000	
82	2976553.940	2540.856	0.000	
83	3013350.857	2503.032	0.000	
84	3049213.437	2470.024	0.000	
85	3086455.393	2437.048	0.000	
86	3122749.104	2394.857	0.000	
87	3159254.959	2363.840	0.000	
88	3195972.958	2327.245	0.000	
89	3232903.100	2291.766	0.000	
90	3270045.386	2264.497	0.000	
91	3306191.524	2225.797	0.000	
92	3342536.339	2196.908	0.000	
93	3379079.832	2168.077	0.000	
94	3415822.003	2134.838	0.000	
95	3452762.852	2102.849	0.000	
96	3489902.379	2069.908	0.000	
97	3525992.776	2044.104	0.000	
98	3563523.036	2004.366	0.000	
99	3599991.142	1982.369	0.000	
100	3636644.901	1954.386	0.000	
101	3673484.314	1931.256	0.000	
102	3709229.564	1898.678	0.000	
103	3746433.881	1871.014	0.000	
104	3782531.453	1849.314	0.000	
105	3820100.676	1819.207	0.000	
106	3856550.570	1799.161	0.000	
107	3893173.534	1770.214	0.000	
108	3929969.569	1749.785	0.000	
109	3965615.369	1724.737	0.000	
110	4002751.364	1700.395	0.000	
111	4040060.429	1673.855	0.000	
112	4076200.937	1654.170	0.000	
113	4112502.375	1634.898	0.000	
114	4148964.741	1607.663	0.000	
115	4185588.036	1591.216	0.000	
116	4222372.261	1568.462	0.000	
117	4259317.414	1548.329	0.000	
118	4296423.497	1528.110	0.000	
119	4332307.380	1502.470	0.000	
120	4369729.360	1486.201	0.000	
121	4405917.441	1462.961	0.000	
122	4442254.750	1442.547	0.000	
123	4478741.289	1424.550	0.000	
124	4515377.057	1407.161	0.000	
125	4552162.054	1387.784	0.000	
126	4589096.281	1372.731	0.000	
127	4626179.736	1356.054	0.000	
128	4663412.421	1336.895	0.000	
