#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.588,3.416)		
1	9209.284	14301.795	0.000	
2	54414.333	13544.551	0.000	
3	99589.002	12921.704	0.000	
4	144809.310	12353.724	0.000	
5	190011.089	11793.145	0.000	
6	235217.637	11293.658	0.000	
7	280532.353	10809.508	0.000	
8	325610.298	10313.729	0.000	
9	370891.637	9890.220	0.000	
10	416257.440	9470.360	0.000	
11	461227.081	9063.961	0.000	
12	506924.881	8680.269	0.000	
13	552035.113	8318.466	0.000	
14	597355.006	7970.851	0.000	
15	642685.933	7649.845	0.000	
16	687836.626	7343.286	0.000	
17	732623.171	7050.844	0.000	
18	778170.843	6762.728	0.000	
19	823081.631	6490.826	0.000	
20	868564.185	6218.277	0.000	
21	913857.922	5984.023	0.000	
22	958856.579	5729.440	0.000	
23	1004196.771	5517.265	0.000	
24	1049827.818	5282.912	0.000	
25	1094927.287	5088.557	0.000	
26	1140186.829	4889.983	0.000	
27	1185559.035	4702.385	0.000	
28	1230178.423	4523.660	0.000	
29	1275622.014	4342.742	0.000	
30	1321041.220	4176.278	0.000	
31	1366391.902	4021.879	0.000	
32	1411630.737	3863.719	0.000	
33	1456715.220	3727.310	0.000	
34	1501603.667	3578.870	0.000	
35	1547173.273	3453.384	0.000	
36	1592492.348	3324.762	0.000	
37	1637520.841	3205.518	0.000	
38	1683177.090	3087.919	0.000	
39	1728490.444	2973.377	0.000	
40	1773422.484	2867.888	0.000	
41	1818931.059	2763.967	0.000	
42	1864008.186	2667.703	0.000	
43	1909637.053	2566.989	0.000	
44	1954785.430	2474.566	0.000	
45	1999417.351	2397.779	0.000	
46	2044553.058	2319.471	0.000	
47	2090192.551	2233.701	0.000	
48	2135257.009	2155.830	0.000	
49	2180802.094	2079.122	0.000	
50	2225726.369	2017.576	0.000	
51	2271108.656	1947.644	0.000	
52	2315825.449	1876.550	0.000	
53	2362112.590	1817.448	0.000	
54	2406566.864	1764.538	0.000	
55	2452591.485	1713.585	0.000	
56	2497885.222	1650.815	0.000	
57	2542416.195	1605.677	0.000	
58	2587340.606	1537.726	0.000	
59	2632658.456	1511.891	0.000	
60	2678369.743	1456.721	0.000	
61	2723256.146	1412.688	0.000	
62	2768515.551	1374.146	0.000	
63	2814147.961	1334.523	0.000	
64	2858905.079	1291.427	0.000	
65	2904015.311	1251.251	0.000	
66	2949478.656	1209.037	0.000	
67	2995295.114	1171.709	0.000	
68	3040177.430	1144.309	0.000	
69	3085393.514	1114.433	0.000	
70	3130943.367	1091.472	0.000	
71	3175511.395	1051.850	0.000	
72	3221719.248	1028.118	0.000	
73	3266926.477	993.302	0.000	
74	3311105.291	970.682	0.000	
75	3356933.193	940.170	0.000	
76	3401714.424	907.189	0.000	
77	3446792.369	896.625	0.000	
78	3492167.027	862.456	0.000	
79	3537838.398	843.725	0.000	
80	3583806.483	819.360	0.000	
81	3628664.958	794.155	0.000	
82	3673802.436	783.138	0.000	
83	3719218.918	757.631	0.000	
84	3763482.195	741.317	0.000	
85	3809447.964	715.069	0.000	
86	3854243.364	694.958	0.000	
87	3899300.601	680.550	0.000	
88	3944619.677	672.889	0.000	
89	3990200.590	649.853	0.000	
90	4036043.341	643.781	0.000	
91	4080656.599	624.481	0.000	
92	4125515.074	614.413	0.000	
93	4170618.766	597.172	0.000	
94	4215967.677	576.508	0.000	
95	4261561.805	567.283	0.000	
96	4307401.150	560.629	0.000	
97	4351945.610	553.654	0.000	
98	4398267.217	546.437	0.000	
99	4443277.863	518.241	0.000	
100	4488517.652	525.772	0.000	
101	4533986.582	515.246	0.000	
102	4578105.045	498.535	0.000	
103	4624024.359	472.405	0.000	
104	4668577.674	462.604	0.000	
105	4714947.371	470.477	0.000	
106	4759935.539	454.583	0.000	
107	4805137.318	457.216	0.000	
108	4850552.710	441.896	0.000	
109	4894548.428	433.228	0.000	
110	4940383.414	429.564	0.000	
111	4986432.012	421.472	0.000	
112	5031038.321	393.797	0.000	
113	5075843.257	410.582	0.000	
114	5120846.819	390.305	0.000	
115	5166049.008	399.969	0.000	
116	5211449.822	371.948	0.000	
117	5257049.263	372.743	0.000	
118	5302847.330	365.513	0.000	
119	5347136.901	352.167	0.000	
120	5393324.864	358.065	0.000	
121	5437989.889	333.773	0.000	
122	5482839.101	333.668	0.000	
123	5527872.498	336.746	0.000	
124	5573090.080	323.614	0.000	
125	5618491.848	330.273	0.000	
126	5664077.802	309.102	0.000	
127	5709847.942	314.158	0.000	
128	5755802.267	293.873	0.000	
