#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.591,3.428)		
1	10235.810	12382.099	0.000	
2	10762.070	12341.966	0.000	
3	11334.639	12319.420	0.000	
4	11922.048	12336.851	0.000	
5	12541.720	12329.572	0.000	
6	13194.965	12339.123	0.000	
7	13883.126	12333.231	0.000	
8	14588.779	12322.648	0.000	
9	15350.469	12308.840	0.000	
10	16151.315	12309.312	0.000	
11	16992.807	12301.584	0.000	
12	17876.473	12321.099	0.000	
13	18803.874	12314.700	0.000	
14	19776.609	12299.605	0.000	
15	20818.766	12309.955	0.000	
16	21887.681	12288.850	0.000	
17	23030.573	12268.089	0.000	
18	24226.769	12287.361	0.000	
19	25502.939	12273.580	0.000	
20	26811.863	12288.573	0.000	
21	28205.798	12259.674	0.000	
22	29688.670	12254.676	0.000	
23	31209.530	12247.569	0.000	
24	32852.959	12228.582	0.000	
25	34538.555	12205.187	0.000	
26	36355.296	12156.062	0.000	
27	38249.036	12156.525	0.000	
28	40222.064	12148.053	0.000	
29	42308.716	12094.571	0.000	
30	44513.788	12112.084	0.000	
31	46842.222	12074.816	0.000	
32	49264.554	12043.258	0.000	
33	51818.789	12032.845	0.000	
34	54510.231	12004.724	0.000	
35	57344.333	11976.440	0.000	
36	60326.691	11954.933	0.000	
37	63502.263	11937.020	0.000	
38	66799.508	11908.067	0.000	
39	70262.695	11879.055	0.000	
40	73898.000	11848.478	0.000	
41	77755.144	11810.536	0.000	
42	81799.416	11780.838	0.000	
43	86037.501	11754.208	0.000	
44	90523.057	11726.950	0.000	
45	95218.623	11674.869	0.000	
46	100180.653	11653.501	0.000	
47	105369.737	11592.641	0.000	
48	110845.247	11545.068	0.000	
49	116618.849	11515.139	0.000	
50	122702.537	11455.530	0.000	
51	129108.627	11405.107	0.000	
52	135792.405	11378.679	0.000	
53	142879.521	11330.729	0.000	
54	150269.895	11276.403	0.000	
55	158089.861	11226.440	0.000	
56	166302.236	11170.915	0.000	
57	174981.628	11095.552	0.000	
58	184082.723	11059.538	0.000	
59	193617.291	10984.113	0.000	
60	203675.515	10947.653	0.000	
61	214278.626	10869.843	0.000	
62	225444.855	10793.401	0.000	
63	237196.338	10713.523	0.000	
64	249480.298	10622.834	0.000	
65	262472.922	10555.148	0.000	
66	276120.806	10462.674	0.000	
67	290452.467	10370.010	0.000	
68	305576.767	10285.609	0.000	
69	321436.083	10205.053	0.000	
70	338149.004	10076.502	0.000	
71	355749.506	10001.821	0.000	
72	374277.097	9896.968	0.000	
73	393758.444	9806.252	0.000	
74	414234.755	9683.837	0.000	
75	435743.640	9591.374	0.000	
76	458431.044	9453.568	0.000	
77	482234.465	9341.186	0.000	
78	507302.049	9214.223	0.000	
79	533689.001	9095.143	0.000	
80	561446.726	8948.994	0.000	
81	590622.141	8800.996	0.000	
82	621274.792	8666.657	0.000	
83	653582.189	8535.215	0.000	
84	687610.378	8373.452	0.000	
85	723427.183	8218.099	0.000	
86	760970.372	8069.305	0.000	
87	800578.355	7902.327	0.000	
88	842189.341	7736.753	0.000	
89	886027.620	7573.490	0.000	
90	932028.198	7395.271	0.000	
91	980576.566	7223.761	0.000	
92	1031469.850	7051.625	0.000	
93	1085106.252	6866.375	0.000	
94	1141595.101	6693.607	0.000	
95	1200891.330	6497.512	0.000	
96	1263429.232	6319.306	0.000	
97	1328991.275	6141.423	0.000	
98	1398230.106	5954.037	0.000	
99	1470931.036	5775.909	0.000	
100	1547410.008	5590.012	0.000	
101	1627812.381	5381.635	0.000	
102	1712494.786	5204.960	0.000	
103	1801412.849	5019.419	0.000	
104	1895139.245	4824.742	0.000	
105	1993674.163	4626.192	0.000	
106	2097397.182	4437.004	0.000	
107	2206532.964	4242.996	0.000	
108	2321279.123	4056.261	0.000	
109	2441849.167	3860.749	0.000	
110	2568716.128	3687.210	0.000	
111	2702384.318	3496.455	0.000	
112	2842843.168	3313.277	0.000	
113	2990635.419	3151.735	0.000	
114	3146299.180	2976.083	0.000	
115	3309883.498	2811.327	0.000	
116	3481968.593	2642.288	0.000	
117	3662881.528	2479.015	0.000	
118	3853565.645	2325.694	0.000	
119	4053802.615	2169.950	0.000	
120	4264554.791	2028.944	0.000	
121	4486262.970	1876.787	0.000	
122	4719660.712	1738.533	0.000	
123	4965221.084	1604.068	0.000	
124	5223413.341	1471.488	0.000	
125	5494718.522	1346.516	0.000	
126	5780737.559	1236.067	0.000	
127	6081314.953	1113.393	0.000	
128	6397381.302	1012.495	0.000	
