#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.566,3.412)		
1	22381.174	11570.784	0.000	
2	132242.280	10964.661	0.000	
3	242029.555	10375.387	0.000	
4	351927.742	9896.830	0.000	
5	461780.902	9474.443	0.000	
6	571645.650	9025.501	0.000	
7	681773.277	8596.764	0.000	
8	791325.483	8122.236	0.000	
9	901371.995	7899.122	0.000	
10	1011623.778	7500.501	0.000	
11	1120912.774	7168.408	0.000	
12	1231971.405	6881.161	0.000	
13	1341602.078	6634.108	0.000	
14	1451742.286	6247.165	0.000	
15	1561909.312	6042.138	0.000	
16	1671638.316	5800.324	0.000	
17	1780482.337	5593.642	0.000	
18	1891176.115	5327.019	0.000	
19	2000322.083	5183.422	0.000	
20	2110857.604	4897.507	0.000	
21	2220934.244	4712.742	0.000	
22	2330293.760	4523.545	0.000	
23	2440483.300	4327.149	0.000	
24	2551379.701	4143.703	0.000	
25	2660984.218	3996.316	0.000	
26	2770977.757	3893.370	0.000	
27	2881245.101	3745.151	0.000	
28	2989682.883	3595.005	0.000	
29	3100123.715	3465.313	0.000	
30	3210505.282	3313.283	0.000	
31	3320720.315	3205.960	0.000	
32	3430663.530	3099.414	0.000	
33	3540231.628	2958.145	0.000	
34	3649323.298	2875.900	0.000	
35	3760070.381	2753.229	0.000	
36	3870208.603	2660.158	0.000	
37	3979640.626	2573.636	0.000	
38	4090598.277	2446.765	0.000	
39	4200722.593	2407.409	0.000	
40	4309920.210	2296.543	0.000	
41	4420518.967	2213.189	0.000	
42	4530069.187	2132.812	0.000	
43	4640960.290	2069.750	0.000	
44	4750683.666	1998.104	0.000	
45	4859151.908	1937.881	0.000	
46	4968844.493	1851.747	0.000	
47	5079761.421	1771.431	0.000	
48	5189280.850	1700.194	0.000	
49	5299968.338	1668.044	0.000	
50	5409147.083	1586.547	0.000	
51	5519438.927	1589.857	0.000	
52	5628113.433	1488.356	0.000	
53	5740604.327	1440.746	0.000	
54	5848640.838	1387.064	0.000	
55	5960493.736	1331.120	0.000	
56	6070570.376	1282.794	0.000	
57	6178793.286	1248.119	0.000	
58	6287972.362	1208.965	0.000	
59	6398107.604	1157.422	0.000	
60	6509199.013	1102.468	0.000	
61	6618285.717	1040.367	0.000	
62	6728278.925	1047.800	0.000	
63	6839178.636	993.395	0.000	
64	6947951.143	971.877	0.000	
65	7057581.816	920.792	0.000	
66	7168070.654	904.886	0.000	
67	7279417.658	872.809	0.000	
68	7388494.429	853.701	0.000	
69	7498382.353	802.233	0.000	
70	7609081.429	772.587	0.000	
71	7717394.393	757.712	0.000	
72	7829692.597	736.465	0.000	
73	7939559.000	704.969	0.000	
74	8046926.062	681.596	0.000	
75	8158300.877	649.147	0.000	
76	8267131.985	629.211	0.000	
77	8376684.191	615.069	0.000	
78	8486957.495	575.576	0.000	
79	8597951.896	578.673	0.000	
80	8709667.395	554.509	0.000	
81	8818686.227	537.815	0.000	
82	8928383.116	514.240	0.000	
83	9038758.062	466.430	0.000	
84	9146330.395	467.389	0.000	
85	9258040.265	455.859	0.000	
86	9366905.806	436.106	0.000	
87	9476407.688	420.242	0.000	
88	9586545.910	420.190	0.000	
89	9697320.472	397.492	0.000	
90	9808731.375	374.755	0.000	
91	9917154.259	370.937	0.000	
92	10026173.091	368.396	0.000	
93	10135787.872	341.749	0.000	
94	10245998.601	335.674	0.000	
95	10356805.278	334.950	0.000	
96	10468207.904	305.275	0.000	
97	10576463.591	304.297	0.000	
98	10689038.249	307.470	0.000	
99	10798426.900	267.044	0.000	
100	10908372.432	264.844	0.000	
101	11018874.845	250.850	0.000	
102	11126095.237	244.222	0.000	
103	11237692.208	237.344	0.000	
104	11345969.416	228.219	0.000	
105	11458660.945	217.944	0.000	
106	11567994.968	230.629	0.000	
107	11677848.128	195.258	0.000	
108	11788220.425	203.172	0.000	
109	11895142.512	211.109	0.000	
110	12006534.543	207.009	0.000	
111	12118445.712	204.150	0.000	
112	12226851.710	196.353	0.000	
113	12335740.427	170.235	0.000	
114	12445111.862	163.957	0.000	
115	12554966.015	138.708	0.000	
116	12665302.887	166.239	0.000	
117	12776122.477	149.296	0.000	
118	12887424.784	142.382	0.000	
119	12995061.016	152.513	0.000	
120	13107310.882	142.690	0.000	
121	13215859.577	131.271	0.000	
122	13324855.896	134.822	0.000	
123	13434299.838	121.334	0.000	
124	13544191.403	132.396	0.000	
125	13654530.592	130.313	0.000	
126	13765317.405	116.371	0.000	
127	13876551.841	122.114	0.000	
128	13988233.900	89.528	0.000	
