#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.545,3.409)		
1	18639.485	12625.626	0.000	
2	110133.991	12041.902	0.000	
3	201567.008	11405.048	0.000	
4	293092.396	11006.781	0.000	
5	384580.284	10517.865	0.000	
6	476077.822	10060.900	0.000	
7	567794.292	9612.642	0.000	
8	659031.540	9272.898	0.000	
9	750680.455	8895.696	0.000	
10	842500.324	8369.041	0.000	
11	933518.365	8165.732	0.000	
12	1026010.193	7775.131	0.000	
13	1117312.789	7499.527	0.000	
14	1209039.737	7142.217	0.000	
15	1300789.019	6900.382	0.000	
16	1392173.507	6551.130	0.000	
17	1482820.964	6388.526	0.000	
18	1575008.936	6210.964	0.000	
19	1665907.860	5926.024	0.000	
20	1757964.032	5739.615	0.000	
21	1849638.039	5501.252	0.000	
22	1940714.810	5368.923	0.000	
23	2032482.842	5175.956	0.000	
24	2124839.562	4989.549	0.000	
25	2216120.375	4798.976	0.000	
26	2307725.173	4642.215	0.000	
27	2399558.002	4479.160	0.000	
28	2489867.135	4300.917	0.000	
29	2581844.448	4166.760	0.000	
30	2673772.404	4044.359	0.000	
31	2765561.667	3921.123	0.000	
32	2857124.554	3782.613	0.000	
33	2948375.037	3633.445	0.000	
34	3039228.741	3577.702	0.000	
35	3131461.106	3430.910	0.000	
36	3223186.399	3301.783	0.000	
37	3314323.556	3204.443	0.000	
38	3406731.286	3104.039	0.000	
39	3498444.998	3008.755	0.000	
40	3589386.937	2897.131	0.000	
41	3681495.773	2791.812	0.000	
42	3772731.366	2733.886	0.000	
43	3865083.674	2665.530	0.000	
44	3956463.475	2570.462	0.000	
45	4046797.976	2476.931	0.000	
46	4138152.134	2381.912	0.000	
47	4230525.949	2343.183	0.000	
48	4321735.899	2262.068	0.000	
49	4413918.632	2169.694	0.000	
50	4504844.854	2094.488	0.000	
51	4596698.087	2087.327	0.000	
52	4687204.369	1983.389	0.000	
53	4780889.014	1936.149	0.000	
54	4870863.960	1863.690	0.000	
55	4964017.269	1787.512	0.000	
56	5055691.277	1744.548	0.000	
57	5145821.460	1685.944	0.000	
58	5236747.958	1648.187	0.000	
59	5328470.769	1578.496	0.000	
60	5420989.895	1544.396	0.000	
61	5511839.463	1471.205	0.000	
62	5603443.986	1430.919	0.000	
63	5695803.463	1397.764	0.000	
64	5786391.361	1350.111	0.000	
65	5877693.957	1305.092	0.000	
66	5969711.251	1259.222	0.000	
67	6062443.242	1240.896	0.000	
68	6153284.538	1198.758	0.000	
69	6244801.378	1167.802	0.000	
70	6336993.761	1142.154	0.000	
71	6427198.944	1084.477	0.000	
72	6520723.113	1056.719	0.000	
73	6612222.030	981.623	0.000	
74	6701639.446	1010.245	0.000	
75	6794394.599	957.090	0.000	
76	6885031.302	929.087	0.000	
77	6976268.549	896.237	0.000	
78	7068106.341	877.391	0.000	
79	7160544.678	839.043	0.000	
80	7253583.558	808.856	0.000	
81	7344376.602	786.269	0.000	
82	7435734.344	769.523	0.000	
83	7527656.786	732.561	0.000	
84	7617245.156	717.198	0.000	
85	7710279.349	704.308	0.000	
86	7800944.728	670.608	0.000	
87	7892140.064	646.705	0.000	
88	7983865.358	646.562	0.000	
89	8076120.608	599.017	0.000	
90	8168905.815	583.728	0.000	
91	8259202.541	538.818	0.000	
92	8349995.584	552.609	0.000	
93	8441284.945	550.177	0.000	
94	8533070.623	519.426	0.000	
95	8625352.620	499.840	0.000	
96	8718130.933	485.728	0.000	
97	8808288.414	470.638	0.000	
98	8902042.820	450.984	0.000	
99	8993143.856	465.172	0.000	
100	9084708.673	443.666	0.000	
101	9176737.271	417.162	0.000	
102	9266032.538	405.403	0.000	
103	9358972.707	380.633	0.000	
104	9449148.110	372.875	0.000	
105	9542999.849	360.812	0.000	
106	9634055.389	359.527	0.000	
107	9725543.277	341.139	0.000	
108	9817463.513	332.522	0.000	
109	9906510.345	324.418	0.000	
110	9999279.835	328.208	0.000	
111	10092481.674	306.173	0.000	
112	10182764.337	300.155	0.000	
113	10273449.018	293.626	0.000	
114	10364535.715	270.255	0.000	
115	10456024.431	252.724	0.000	
116	10547915.163	268.745	0.000	
117	10640207.913	250.765	0.000	
118	10732902.680	246.839	0.000	
119	10822544.266	229.546	0.000	
120	10916028.178	236.325	0.000	
121	11006429.682	244.731	0.000	
122	11097203.976	232.956	0.000	
123	11188351.059	207.830	0.000	
124	11279870.932	213.710	0.000	
125	11371763.594	191.640	0.000	
126	11464029.047	176.117	0.000	
127	11556667.289	199.043	0.000	
128	11649678.320	191.586	0.000	
