#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.582,3.425)		
1	6129.704	15625.359	0.000	
2	6444.854	15558.595	0.000	
3	6787.737	15547.850	0.000	
4	7139.506	15549.906	0.000	
5	7510.596	15545.603	0.000	
6	7901.791	15497.764	0.000	
7	8313.896	15470.771	0.000	
8	8736.475	15513.906	0.000	
9	9192.612	15442.095	0.000	
10	9672.198	15501.669	0.000	
11	10176.125	15487.156	0.000	
12	10705.307	15474.752	0.000	
13	11260.680	15457.224	0.000	
14	11843.202	15399.249	0.000	
15	12467.296	15419.269	0.000	
16	13107.415	15377.473	0.000	
17	13791.835	15349.999	0.000	
18	14508.176	15349.518	0.000	
19	15272.408	15314.461	0.000	
20	16056.256	15306.381	0.000	
21	16891.013	15281.032	0.000	
22	17779.029	15213.096	0.000	
23	18689.795	15291.398	0.000	
24	19673.960	15209.933	0.000	
25	20683.378	15243.482	0.000	
26	21771.331	15257.848	0.000	
27	22905.395	15177.497	0.000	
28	24086.941	15146.034	0.000	
29	25336.530	15149.193	0.000	
30	26657.036	15164.497	0.000	
31	28051.416	15072.833	0.000	
32	29502.027	15030.217	0.000	
33	31031.628	14993.100	0.000	
34	32643.395	14992.776	0.000	
35	34340.595	14990.837	0.000	
36	36126.576	14949.303	0.000	
37	38028.265	14923.888	0.000	
38	40002.816	14936.164	0.000	
39	42076.742	14812.110	0.000	
40	44253.741	14791.203	0.000	
41	46563.588	14760.408	0.000	
42	48985.495	14760.508	0.000	
43	51523.469	14690.607	0.000	
44	54209.639	14639.754	0.000	
45	57021.574	14686.861	0.000	
46	59993.080	14598.225	0.000	
47	63100.558	14585.567	0.000	
48	66379.561	14485.233	0.000	
49	69837.077	14505.926	0.000	
50	73480.287	14424.861	0.000	
51	77316.568	14366.691	0.000	
52	81319.141	14254.461	0.000	
53	85563.253	14197.272	0.000	
54	89988.971	14239.497	0.000	
55	94671.950	14097.920	0.000	
56	99589.922	14072.970	0.000	
57	104787.566	13956.476	0.000	
58	110237.748	13905.945	0.000	
59	115947.514	13876.364	0.000	
60	121970.871	13785.766	0.000	
61	128320.533	13704.526	0.000	
62	135007.418	13628.620	0.000	
63	142044.781	13528.686	0.000	
64	149401.018	13430.692	0.000	
65	157181.637	13352.532	0.000	
66	165354.659	13236.458	0.000	
67	173937.159	13171.507	0.000	
68	182994.330	13061.720	0.000	
69	192491.665	12904.755	0.000	
70	202500.181	12787.169	0.000	
71	213040.223	12625.375	0.000	
72	224135.452	12557.405	0.000	
73	235801.836	12496.174	0.000	
74	248064.054	12260.999	0.000	
75	260944.627	12112.572	0.000	
76	274530.956	12012.288	0.000	
77	288785.610	11741.070	0.000	
78	303797.306	11608.016	0.000	
79	319599.105	11443.540	0.000	
80	336221.790	11339.433	0.000	
81	353693.457	11105.076	0.000	
82	372049.766	10954.470	0.000	
83	391397.017	10736.364	0.000	
84	411774.762	10580.437	0.000	
85	433223.619	10330.730	0.000	
86	455706.319	10097.537	0.000	
87	479425.518	9881.381	0.000	
88	504344.214	9717.475	0.000	
89	530596.722	9441.006	0.000	
90	558144.121	9188.199	0.000	
91	587217.260	8942.106	0.000	
92	617694.651	8722.167	0.000	
93	649814.755	8429.761	0.000	
94	683643.043	8212.096	0.000	
95	719152.529	7920.663	0.000	
96	756603.287	7659.594	0.000	
97	795865.048	7409.757	0.000	
98	837328.650	7139.978	0.000	
99	880865.527	6832.066	0.000	
100	926664.880	6557.780	0.000	
101	974813.758	6280.856	0.000	
102	1025525.729	6005.964	0.000	
103	1078774.218	5707.776	0.000	
104	1134902.173	5414.513	0.000	
105	1193909.707	5115.301	0.000	
106	1256024.129	4826.244	0.000	
107	1321379.979	4556.940	0.000	
108	1390095.598	4302.965	0.000	
109	1462298.844	4040.315	0.000	
110	1538272.992	3773.283	0.000	
111	1618320.049	3524.067	0.000	
112	1702433.686	3244.458	0.000	
113	1790938.922	3017.846	0.000	
114	1884158.005	2760.780	0.000	
115	1982120.304	2524.479	0.000	
116	2085173.285	2301.447	0.000	
117	2193512.808	2078.739	0.000	
118	2307703.794	1892.085	0.000	
119	2427615.496	1702.003	0.000	
120	2553824.218	1531.957	0.000	
121	2686593.932	1359.335	0.000	
122	2826363.927	1204.652	0.000	
123	2973417.502	1063.109	0.000	
124	3128035.668	923.048	0.000	
125	3290506.494	810.103	0.000	
126	3461788.698	697.929	0.000	
127	3641789.159	593.442	0.000	
128	3831065.165	504.317	0.000	
