#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.586,3.431)		
1	7156.231	15527.626	0.000	
2	7524.158	15465.810	0.000	
3	7924.463	15474.227	0.000	
4	8335.141	15456.814	0.000	
5	8768.377	15517.921	0.000	
6	9225.084	15510.169	0.000	
7	9706.203	15483.542	0.000	
8	10199.551	15471.184	0.000	
9	10732.076	15479.998	0.000	
10	11291.977	15453.612	0.000	
11	11880.296	15435.895	0.000	
12	12498.099	15406.531	0.000	
13	13146.479	15446.487	0.000	
14	13826.553	15296.889	0.000	
15	14555.164	15413.925	0.000	
16	15302.481	15412.978	0.000	
17	16101.519	15397.655	0.000	
18	16937.824	15420.565	0.000	
19	17830.041	15397.902	0.000	
20	18745.158	15356.405	0.000	
21	19719.709	15367.714	0.000	
22	20756.440	15337.575	0.000	
23	21819.729	15335.507	0.000	
24	22968.710	15280.775	0.000	
25	24147.172	15247.745	0.000	
26	25417.322	15215.395	0.000	
27	26741.306	15211.981	0.000	
28	28120.722	15207.897	0.000	
29	29579.577	15125.543	0.000	
30	31121.224	15071.794	0.000	
31	32749.118	15016.601	0.000	
32	34442.659	15018.679	0.000	
33	36228.418	14972.613	0.000	
34	38110.104	14946.131	0.000	
35	40091.529	14935.049	0.000	
36	42176.605	14898.380	0.000	
37	44396.764	14791.655	0.000	
38	46701.989	14790.100	0.000	
39	49123.230	14728.327	0.000	
40	51664.806	14673.087	0.000	
41	54361.477	14614.986	0.000	
42	57188.975	14590.813	0.000	
43	60151.977	14513.285	0.000	
44	63287.994	14457.930	0.000	
45	66570.836	14352.765	0.000	
46	70039.974	14278.917	0.000	
47	73667.852	14273.348	0.000	
48	77495.983	14137.858	0.000	
49	81532.520	14111.709	0.000	
50	85785.849	14058.271	0.000	
51	90264.583	13988.707	0.000	
52	94937.457	13904.658	0.000	
53	99892.320	13758.546	0.000	
54	105059.202	13715.488	0.000	
55	110526.428	13628.580	0.000	
56	116268.000	13554.855	0.000	
57	122336.082	13490.512	0.000	
58	128698.992	13389.421	0.000	
59	135364.959	13254.521	0.000	
60	142397.032	13183.696	0.000	
61	149810.056	13037.184	0.000	
62	157616.777	12963.569	0.000	
63	165832.670	12832.744	0.000	
64	174420.838	12724.343	0.000	
65	183504.458	12576.814	0.000	
66	193046.196	12443.533	0.000	
67	203065.986	12302.441	0.000	
68	213639.939	12170.691	0.000	
69	224727.770	12025.201	0.000	
70	236412.387	11863.619	0.000	
71	248717.544	11736.908	0.000	
72	261670.863	11576.892	0.000	
73	275290.988	11455.913	0.000	
74	289606.729	11243.599	0.000	
75	304644.380	11088.415	0.000	
76	320505.978	10935.254	0.000	
77	337147.823	10719.294	0.000	
78	354673.492	10512.375	0.000	
79	373121.579	10338.184	0.000	
80	392528.024	10118.627	0.000	
81	412925.628	9910.601	0.000	
82	434356.022	9765.749	0.000	
83	456943.310	9483.751	0.000	
84	480733.666	9240.235	0.000	
85	505774.510	9032.022	0.000	
86	532022.333	8780.136	0.000	
87	559713.727	8536.780	0.000	
88	588805.496	8325.571	0.000	
89	619454.446	8043.663	0.000	
90	651615.140	7816.732	0.000	
91	685557.087	7521.606	0.000	
92	721138.451	7266.429	0.000	
93	758637.629	6986.654	0.000	
94	798131.058	6749.445	0.000	
95	839587.229	6460.540	0.000	
96	883309.773	6190.707	0.000	
97	929146.605	5913.545	0.000	
98	977554.014	5619.367	0.000	
99	1028381.904	5352.772	0.000	
100	1081851.162	5085.781	0.000	
101	1138063.414	4809.206	0.000	
102	1197267.993	4532.095	0.000	
103	1259433.876	4272.328	0.000	
104	1324961.441	4009.260	0.000	
105	1393850.821	3738.065	0.000	
106	1466367.392	3489.308	0.000	
107	1542668.226	3205.842	0.000	
108	1622891.479	2998.421	0.000	
109	1707186.425	2767.179	0.000	
110	1795883.776	2539.422	0.000	
111	1889336.116	2333.135	0.000	
112	1987536.056	2119.389	0.000	
113	2090863.046	1926.439	0.000	
114	2199693.298	1738.264	0.000	
115	2314061.102	1561.195	0.000	
116	2434372.112	1401.055	0.000	
117	2560854.988	1241.191	0.000	
118	2694169.257	1102.625	0.000	
119	2834162.276	969.498	0.000	
120	2981506.862	845.441	0.000	
121	3136511.191	736.292	0.000	
122	3299688.123	635.522	0.000	
123	3471368.398	542.081	0.000	
124	3651880.086	468.176	0.000	
125	3841559.501	396.053	0.000	
126	4041525.913	333.130	0.000	
127	4251670.608	281.363	0.000	
128	4472644.199	230.920	0.000	
