#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.602,3.440)		
1	10151.915	13286.076	0.000	
2	10673.861	13223.141	0.000	
3	11241.738	13233.918	0.000	
4	11824.332	13213.248	0.000	
5	12438.925	13200.002	0.000	
6	13086.815	13215.986	0.000	
7	13769.336	13205.108	0.000	
8	14469.206	13205.763	0.000	
9	15224.652	13209.005	0.000	
10	16018.935	13191.557	0.000	
11	16853.530	13182.976	0.000	
12	17729.953	13149.299	0.000	
13	18649.752	13189.265	0.000	
14	19614.515	13171.675	0.000	
15	20648.130	13175.398	0.000	
16	21708.284	13149.080	0.000	
17	22841.808	13128.539	0.000	
18	24028.201	13114.177	0.000	
19	25293.910	13134.035	0.000	
20	26592.106	13091.216	0.000	
21	27974.617	13090.515	0.000	
22	29445.335	13066.726	0.000	
23	30953.729	13039.720	0.000	
24	32583.688	13041.965	0.000	
25	34255.468	13028.956	0.000	
26	36057.319	13016.026	0.000	
27	37935.537	12990.147	0.000	
28	39892.394	12970.548	0.000	
29	41961.943	12958.800	0.000	
30	44148.942	12922.239	0.000	
31	46458.292	12907.538	0.000	
32	48860.770	12884.851	0.000	
33	51394.069	12853.714	0.000	
34	54063.452	12833.722	0.000	
35	56874.325	12790.521	0.000	
36	59832.238	12766.368	0.000	
37	62981.783	12734.553	0.000	
38	66252.003	12698.860	0.000	
39	69686.804	12681.644	0.000	
40	73292.314	12632.251	0.000	
41	77117.844	12624.194	0.000	
42	81128.967	12552.091	0.000	
43	85332.317	12535.158	0.000	
44	89781.108	12490.898	0.000	
45	94438.188	12440.396	0.000	
46	99359.548	12396.379	0.000	
47	104506.100	12332.600	0.000	
48	109936.732	12270.679	0.000	
49	115663.012	12253.477	0.000	
50	121696.836	12179.770	0.000	
51	128050.421	12133.331	0.000	
52	134679.417	12054.846	0.000	
53	141708.445	11978.720	0.000	
54	149038.246	11889.266	0.000	
55	156794.118	11852.378	0.000	
56	164939.181	11813.074	0.000	
57	173547.435	11710.668	0.000	
58	182573.935	11613.128	0.000	
59	192030.356	11522.971	0.000	
60	202006.140	11459.737	0.000	
61	212522.345	11358.782	0.000	
62	223597.053	11275.050	0.000	
63	235252.218	11170.643	0.000	
64	247435.495	11070.984	0.000	
65	260321.628	10978.991	0.000	
66	273857.651	10843.941	0.000	
67	288071.847	10735.469	0.000	
68	303072.183	10615.919	0.000	
69	318801.512	10466.368	0.000	
70	335377.450	10357.960	0.000	
71	352833.695	10213.756	0.000	
72	371209.429	10063.775	0.000	
73	390531.102	9929.552	0.000	
74	410839.583	9767.272	0.000	
75	432172.176	9608.804	0.000	
76	454673.629	9448.958	0.000	
77	478281.951	9283.839	0.000	
78	503144.075	9101.760	0.000	
79	529314.752	8921.151	0.000	
80	556844.969	8735.551	0.000	
81	585781.254	8542.763	0.000	
82	616182.669	8352.432	0.000	
83	648225.266	8152.418	0.000	
84	681974.552	7942.807	0.000	
85	717497.793	7731.811	0.000	
86	754733.270	7527.454	0.000	
87	794016.615	7300.420	0.000	
88	835286.547	7083.373	0.000	
89	878765.516	6844.473	0.000	
90	924389.062	6627.458	0.000	
91	972539.516	6366.952	0.000	
92	1023015.666	6129.955	0.000	
93	1076212.450	5901.136	0.000	
94	1132238.302	5655.944	0.000	
95	1191048.525	5408.718	0.000	
96	1253073.851	5167.005	0.000	
97	1318098.531	4919.474	0.000	
98	1386769.863	4671.833	0.000	
99	1458874.918	4434.933	0.000	
100	1534727.049	4183.365	0.000	
101	1614470.425	3941.151	0.000	
102	1698458.752	3701.162	0.000	
103	1786648.020	3469.915	0.000	
104	1879606.211	3227.625	0.000	
105	1977333.512	3011.323	0.000	
106	2080206.391	2791.185	0.000	
107	2188447.669	2573.856	0.000	
108	2302253.341	2361.229	0.000	
109	2421835.163	2163.849	0.000	
110	2547662.290	1975.710	0.000	
111	2680234.902	1797.308	0.000	
112	2819542.516	1613.000	0.000	
113	2966123.425	1452.669	0.000	
114	3120511.328	1297.145	0.000	
115	3282754.867	1153.893	0.000	
116	3453429.510	1023.229	0.000	
117	3632859.637	893.465	0.000	
118	3821980.860	777.981	0.000	
119	4020576.638	675.345	0.000	
120	4229601.436	581.332	0.000	
121	4449492.440	495.830	0.000	
122	4680977.195	420.509	0.000	
123	4924524.894	348.971	0.000	
124	5180600.943	293.419	0.000	
125	5449682.439	248.353	0.000	
126	5733357.192	201.000	0.000	
127	6031470.979	160.178	0.000	
128	6344946.769	133.488	0.000	
