#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.585,3.433)		
1	7156.231	15302.019	0.000	
2	7524.158	15198.806	0.000	
3	7924.463	15175.725	0.000	
4	8335.141	15182.506	0.000	
5	8768.377	15179.258	0.000	
6	9225.084	15190.678	0.000	
7	9706.203	15200.920	0.000	
8	10199.551	15167.025	0.000	
9	10732.076	15144.560	0.000	
10	11291.977	15163.140	0.000	
11	11880.296	15165.650	0.000	
12	12498.099	15172.397	0.000	
13	13146.479	15188.456	0.000	
14	13826.553	15145.436	0.000	
15	14555.164	15101.730	0.000	
16	15302.481	15153.324	0.000	
17	16101.519	15110.839	0.000	
18	16937.824	15108.809	0.000	
19	17830.041	15095.143	0.000	
20	18745.158	15082.148	0.000	
21	19719.709	15052.903	0.000	
22	20756.440	15066.240	0.000	
23	21819.729	15024.900	0.000	
24	22968.710	15021.426	0.000	
25	24147.172	14969.814	0.000	
26	25417.322	14967.134	0.000	
27	26741.306	14948.812	0.000	
28	28120.722	14892.803	0.000	
29	29579.577	14954.740	0.000	
30	31121.224	14899.242	0.000	
31	32749.118	14878.268	0.000	
32	34442.659	14825.673	0.000	
33	36228.418	14774.041	0.000	
34	38110.104	14762.237	0.000	
35	40091.529	14662.031	0.000	
36	42176.605	14716.350	0.000	
37	44396.764	14681.753	0.000	
38	46701.989	14614.730	0.000	
39	49123.230	14571.818	0.000	
40	51664.806	14562.564	0.000	
41	54361.477	14453.512	0.000	
42	57188.975	14487.125	0.000	
43	60151.977	14370.251	0.000	
44	63287.994	14399.619	0.000	
45	66570.836	14418.280	0.000	
46	70039.974	14253.753	0.000	
47	73667.852	14228.792	0.000	
48	77495.983	14179.297	0.000	
49	81532.520	14144.646	0.000	
50	85785.849	14063.799	0.000	
51	90264.583	14016.274	0.000	
52	94937.457	13913.598	0.000	
53	99892.320	13812.766	0.000	
54	105059.202	13710.415	0.000	
55	110526.428	13697.392	0.000	
56	116268.000	13563.930	0.000	
57	122336.082	13492.209	0.000	
58	128698.992	13442.732	0.000	
59	135364.959	13336.315	0.000	
60	142397.032	13253.951	0.000	
61	149810.056	13077.307	0.000	
62	157616.777	13062.270	0.000	
63	165832.670	12895.799	0.000	
64	174420.838	12801.289	0.000	
65	183504.458	12637.347	0.000	
66	193046.196	12489.722	0.000	
67	203065.986	12385.851	0.000	
68	213639.939	12237.078	0.000	
69	224727.770	12138.808	0.000	
70	236412.387	11983.648	0.000	
71	248717.544	11821.172	0.000	
72	261670.863	11663.290	0.000	
73	275290.988	11488.641	0.000	
74	289606.729	11318.727	0.000	
75	304644.380	11116.902	0.000	
76	320505.978	10965.366	0.000	
77	337147.823	10736.669	0.000	
78	354673.492	10439.669	0.000	
79	373121.579	10293.299	0.000	
80	392528.024	10109.012	0.000	
81	412925.628	9850.362	0.000	
82	434356.022	9622.438	0.000	
83	456943.310	9467.515	0.000	
84	480733.666	9182.703	0.000	
85	505774.510	8942.589	0.000	
86	532022.333	8730.060	0.000	
87	559713.727	8477.937	0.000	
88	588805.496	8191.808	0.000	
89	619454.446	7927.976	0.000	
90	651615.140	7665.573	0.000	
91	685557.087	7418.949	0.000	
92	721138.451	7152.337	0.000	
93	758637.629	6875.979	0.000	
94	798131.058	6554.718	0.000	
95	839587.229	6286.235	0.000	
96	883309.773	6007.489	0.000	
97	929146.605	5734.096	0.000	
98	977554.014	5447.088	0.000	
99	1028381.904	5150.046	0.000	
100	1081851.162	4883.549	0.000	
101	1138063.414	4599.232	0.000	
102	1197267.993	4330.007	0.000	
103	1259433.876	4061.044	0.000	
104	1324961.441	3797.867	0.000	
105	1393850.821	3534.937	0.000	
106	1466367.392	3273.343	0.000	
107	1542668.226	3018.503	0.000	
108	1622891.479	2790.782	0.000	
109	1707186.425	2542.504	0.000	
110	1795883.776	2328.078	0.000	
111	1889336.116	2125.924	0.000	
112	1987536.056	1913.793	0.000	
113	2090863.046	1735.108	0.000	
114	2199693.298	1545.284	0.000	
115	2314061.102	1385.223	0.000	
116	2434372.112	1225.044	0.000	
117	2560854.988	1077.132	0.000	
118	2694169.257	945.302	0.000	
119	2834162.276	820.845	0.000	
120	2981506.862	716.152	0.000	
121	3136511.191	613.095	0.000	
122	3299688.123	524.551	0.000	
123	3471368.398	440.755	0.000	
124	3651880.086	371.743	0.000	
125	3841559.501	311.561	0.000	
126	4041525.913	255.252	0.000	
127	4251670.608	210.128	0.000	
128	4472644.199	172.807	0.000	
