#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.601,3.437)		
1	9209.284	13328.964	0.000	
2	9682.766	13250.275	0.000	
3	10197.914	13245.324	0.000	
4	10726.412	13244.551	0.000	
5	11283.939	13247.205	0.000	
6	11871.671	13248.141	0.000	
7	12490.818	13238.300	0.000	
8	13125.703	13235.605	0.000	
9	13811.005	13228.559	0.000	
10	14531.536	13224.901	0.000	
11	15288.637	13208.097	0.000	
12	16083.681	13197.276	0.000	
13	16918.075	13198.326	0.000	
14	17793.257	13196.842	0.000	
15	18730.898	13167.414	0.000	
16	19692.614	13172.225	0.000	
17	20720.888	13168.477	0.000	
18	21797.121	13157.930	0.000	
19	22945.306	13146.773	0.000	
20	24122.961	13146.140	0.000	
21	25377.102	13113.597	0.000	
22	26711.260	13142.571	0.000	
23	28079.596	13110.751	0.000	
24	29558.209	13106.710	0.000	
25	31074.760	13100.355	0.000	
26	32709.305	13104.181	0.000	
27	34413.126	13066.779	0.000	
28	36188.283	13047.012	0.000	
29	38065.669	13022.807	0.000	
30	40049.600	13008.257	0.000	
31	42144.521	12983.422	0.000	
32	44323.922	12964.408	0.000	
33	46621.998	12932.897	0.000	
34	49043.522	12938.463	0.000	
35	51593.399	12906.740	0.000	
36	54276.662	12885.520	0.000	
37	57133.764	12848.003	0.000	
38	60100.335	12820.588	0.000	
39	63216.207	12810.391	0.000	
40	66486.935	12765.913	0.000	
41	69957.255	12742.596	0.000	
42	73595.936	12720.015	0.000	
43	77408.993	12676.271	0.000	
44	81444.703	12649.857	0.000	
45	85669.361	12608.708	0.000	
46	90133.760	12560.690	0.000	
47	94802.442	12537.482	0.000	
48	99728.826	12487.413	0.000	
49	104923.406	12453.631	0.000	
50	110396.974	12398.160	0.000	
51	116160.612	12354.089	0.000	
52	122174.089	12299.671	0.000	
53	128550.454	12260.655	0.000	
54	135199.664	12187.577	0.000	
55	142235.384	12135.505	0.000	
56	149624.157	12086.908	0.000	
57	157433.112	12000.545	0.000	
58	165621.479	11941.832	0.000	
59	174199.847	11835.740	0.000	
60	183249.354	11800.715	0.000	
61	192789.102	11715.955	0.000	
62	202835.496	11646.152	0.000	
63	213408.449	11547.220	0.000	
64	224460.478	11470.559	0.000	
65	236150.101	11375.768	0.000	
66	248429.269	11280.296	0.000	
67	261323.640	11168.968	0.000	
68	274931.158	11052.158	0.000	
69	289199.978	10946.579	0.000	
70	304236.798	10804.838	0.000	
71	320072.186	10747.352	0.000	
72	336741.686	10610.922	0.000	
73	354269.292	10484.558	0.000	
74	372692.079	10320.193	0.000	
75	392043.887	10202.850	0.000	
76	412456.022	10038.740	0.000	
77	433872.251	9900.464	0.000	
78	456425.863	9751.954	0.000	
79	480166.527	9590.725	0.000	
80	505140.492	9421.706	0.000	
81	531389.970	9237.664	0.000	
82	558968.535	9057.654	0.000	
83	588035.896	8890.939	0.000	
84	618651.474	8700.290	0.000	
85	650876.292	8513.243	0.000	
86	684654.359	8298.749	0.000	
87	720290.146	8125.455	0.000	
88	757728.059	7889.532	0.000	
89	797169.895	7671.461	0.000	
90	838557.179	7449.196	0.000	
91	882236.739	7240.814	0.000	
92	928026.050	7010.081	0.000	
93	976283.378	6757.014	0.000	
94	1027107.086	6536.118	0.000	
95	1080456.630	6253.526	0.000	
96	1136722.746	6042.180	0.000	
97	1195709.718	5799.309	0.000	
98	1258004.742	5540.388	0.000	
99	1323414.659	5281.766	0.000	
100	1392223.726	5046.264	0.000	
101	1464562.725	4797.854	0.000	
102	1540752.522	4546.038	0.000	
103	1620753.191	4286.872	0.000	
104	1705079.977	4044.343	0.000	
105	1793733.049	3793.031	0.000	
106	1887053.919	3560.791	0.000	
107	1985244.718	3329.072	0.000	
108	2088483.242	3087.947	0.000	
109	2196961.587	2856.444	0.000	
110	2311105.344	2638.489	0.000	
111	2431368.251	2424.026	0.000	
112	2557740.797	2219.388	0.000	
113	2690711.294	2020.381	0.000	
114	2830763.886	1830.019	0.000	
115	2977942.699	1652.049	0.000	
116	3132769.766	1477.580	0.000	
117	3295539.348	1317.820	0.000	
118	3467100.182	1164.425	0.000	
119	3647255.836	1031.633	0.000	
120	3836872.148	891.816	0.000	
121	4036345.711	777.508	0.000	
122	4246336.515	674.355	0.000	
123	4467270.189	580.081	0.000	
124	4699568.923	493.800	0.000	
125	4943665.515	418.793	0.000	
126	5201000.344	347.352	0.000	
127	5471433.505	286.540	0.000	
128	5755802.267	232.930	0.000	
