#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.585,3.427)		
1	7156.231	13850.352	0.000	
2	7524.158	13773.353	0.000	
3	7924.463	13797.088	0.000	
4	8335.141	13728.938	0.000	
5	8768.377	13728.572	0.000	
6	9225.084	13759.410	0.000	
7	9706.203	13720.099	0.000	
8	10199.551	13770.039	0.000	
9	10732.076	13678.974	0.000	
10	11291.977	13682.517	0.000	
11	11880.296	13657.652	0.000	
12	12498.099	13671.978	0.000	
13	13146.479	13733.831	0.000	
14	13826.553	13745.246	0.000	
15	14555.164	13673.497	0.000	
16	15302.481	13630.778	0.000	
17	16101.519	13531.295	0.000	
18	16937.824	13709.869	0.000	
19	17830.041	13606.994	0.000	
20	18745.158	13624.484	0.000	
21	19719.709	13563.451	0.000	
22	20756.440	13621.318	0.000	
23	21819.729	13600.979	0.000	
24	22968.710	13609.731	0.000	
25	24147.172	13505.244	0.000	
26	25417.322	13477.198	0.000	
27	26741.306	13447.307	0.000	
28	28120.722	13428.120	0.000	
29	29579.577	13490.727	0.000	
30	31121.224	13436.102	0.000	
31	32749.118	13434.084	0.000	
32	34442.659	13462.915	0.000	
33	36228.418	13380.364	0.000	
34	38110.104	13348.232	0.000	
35	40091.529	13342.347	0.000	
36	42176.605	13398.696	0.000	
37	44396.764	13314.055	0.000	
38	46701.989	13320.556	0.000	
39	49123.230	13250.942	0.000	
40	51664.806	13213.016	0.000	
41	54361.477	13160.404	0.000	
42	57188.975	13166.618	0.000	
43	60151.977	13071.861	0.000	
44	63287.994	13101.732	0.000	
45	66570.836	13105.092	0.000	
46	70039.974	12997.420	0.000	
47	73667.852	12946.205	0.000	
48	77495.983	12892.871	0.000	
49	81532.520	12905.703	0.000	
50	85785.849	12843.226	0.000	
51	90264.583	12729.090	0.000	
52	94937.457	12742.261	0.000	
53	99892.320	12667.479	0.000	
54	105059.202	12597.663	0.000	
55	110526.428	12550.751	0.000	
56	116268.000	12470.250	0.000	
57	122336.082	12403.336	0.000	
58	128698.992	12362.480	0.000	
59	135364.959	12301.359	0.000	
60	142397.032	12251.811	0.000	
61	149810.056	12136.821	0.000	
62	157616.777	11994.747	0.000	
63	165832.670	11975.917	0.000	
64	174420.838	11871.864	0.000	
65	183504.458	11830.103	0.000	
66	193046.196	11651.125	0.000	
67	203065.986	11579.272	0.000	
68	213639.939	11510.114	0.000	
69	224727.770	11428.031	0.000	
70	236412.387	11240.016	0.000	
71	248717.544	11186.157	0.000	
72	261670.863	11076.854	0.000	
73	275290.988	10914.370	0.000	
74	289606.729	10745.508	0.000	
75	304644.380	10650.971	0.000	
76	320505.978	10542.859	0.000	
77	337147.823	10385.203	0.000	
78	354673.492	10202.645	0.000	
79	373121.579	10058.968	0.000	
80	392528.024	9911.444	0.000	
81	412925.628	9712.828	0.000	
82	434356.022	9514.809	0.000	
83	456943.310	9369.916	0.000	
84	480733.666	9209.799	0.000	
85	505774.510	8995.993	0.000	
86	532022.333	8840.224	0.000	
87	559713.727	8607.424	0.000	
88	588805.496	8333.042	0.000	
89	619454.446	8200.758	0.000	
90	651615.140	8019.454	0.000	
91	685557.087	7762.544	0.000	
92	721138.451	7509.646	0.000	
93	758637.629	7298.123	0.000	
94	798131.058	7046.657	0.000	
95	839587.229	6819.356	0.000	
96	883309.773	6572.854	0.000	
97	929146.605	6297.530	0.000	
98	977554.014	6126.355	0.000	
99	1028381.904	5826.457	0.000	
100	1081851.162	5600.025	0.000	
101	1138063.414	5331.097	0.000	
102	1197267.993	5076.730	0.000	
103	1259433.876	4864.717	0.000	
104	1324961.441	4578.613	0.000	
105	1393850.821	4321.599	0.000	
106	1466367.392	4106.292	0.000	
107	1542668.226	3856.261	0.000	
108	1622891.479	3641.430	0.000	
109	1707186.425	3383.970	0.000	
110	1795883.776	3150.832	0.000	
111	1889336.116	2925.314	0.000	
112	1987536.056	2729.802	0.000	
113	2090863.046	2470.232	0.000	
114	2199693.298	2277.769	0.000	
115	2314061.102	2095.895	0.000	
116	2434372.112	1908.442	0.000	
117	2560854.988	1722.810	0.000	
118	2694169.257	1557.960	0.000	
119	2834162.276	1412.509	0.000	
120	2981506.862	1274.269	0.000	
121	3136511.191	1126.308	0.000	
122	3299688.123	989.651	0.000	
123	3471368.398	879.735	0.000	
124	3651880.086	771.798	0.000	
125	3841559.501	676.602	0.000	
126	4041525.913	581.597	0.000	
127	4251670.608	506.664	0.000	
128	4472644.199	441.238	0.000	
