#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.578,3.428)		
1	5103.178	15884.107	0.000	
2	5365.551	15787.485	0.000	
3	5651.011	15805.875	0.000	
4	5943.870	15722.382	0.000	
5	6252.815	15759.149	0.000	
6	6578.497	15760.834	0.000	
7	6921.588	15744.490	0.000	
8	7273.399	15681.364	0.000	
9	7653.148	15727.461	0.000	
10	8052.419	15743.980	0.000	
11	8471.955	15704.732	0.000	
12	8912.516	15721.939	0.000	
13	9374.882	15739.926	0.000	
14	9859.850	15664.835	0.000	
15	10379.429	15638.968	0.000	
16	10912.349	15662.279	0.000	
17	11482.150	15656.730	0.000	
18	12078.527	15619.620	0.000	
19	12714.776	15586.457	0.000	
20	13367.355	15558.448	0.000	
21	14062.317	15580.925	0.000	
22	14801.619	15576.538	0.000	
23	15559.861	15566.377	0.000	
24	16379.211	15502.204	0.000	
25	17219.583	15502.310	0.000	
26	18125.340	15440.923	0.000	
27	19069.485	15633.130	0.000	
28	20053.161	15564.624	0.000	
29	21093.484	15505.409	0.000	
30	22192.848	15457.555	0.000	
31	23353.715	15471.964	0.000	
32	24561.395	15366.820	0.000	
33	25834.838	15427.416	0.000	
34	27176.687	15406.271	0.000	
35	28589.660	15372.975	0.000	
36	30076.548	15355.631	0.000	
37	31659.765	15353.183	0.000	
38	33303.643	15281.137	0.000	
39	35030.254	15290.702	0.000	
40	36842.676	15194.814	0.000	
41	38765.698	15238.901	0.000	
42	40782.015	15155.241	0.000	
43	42894.960	15112.112	0.000	
44	45131.285	15086.008	0.000	
45	47472.312	15092.362	0.000	
46	49946.187	15013.959	0.000	
47	52533.263	14911.077	0.000	
48	55263.140	14917.734	0.000	
49	58141.634	14863.992	0.000	
50	61174.724	14875.534	0.000	
51	64368.553	14793.170	0.000	
52	67700.825	14711.941	0.000	
53	71234.186	14658.311	0.000	
54	74918.740	14650.613	0.000	
55	78817.472	14628.750	0.000	
56	82911.843	14500.208	0.000	
57	87239.051	14458.610	0.000	
58	91776.504	14414.925	0.000	
59	96530.070	14250.775	0.000	
60	101544.710	14240.729	0.000	
61	106831.010	14205.931	0.000	
62	112398.059	14095.719	0.000	
63	118256.892	14086.522	0.000	
64	124381.198	13913.448	0.000	
65	130858.816	13865.483	0.000	
66	137663.122	13767.680	0.000	
67	144808.332	13646.187	0.000	
68	152348.721	13539.754	0.000	
69	160255.561	13466.799	0.000	
70	168587.975	13436.505	0.000	
71	177362.903	13145.180	0.000	
72	186600.041	13055.904	0.000	
73	196312.684	12985.716	0.000	
74	206521.378	12898.889	0.000	
75	217244.874	12772.495	0.000	
76	228555.934	12558.568	0.000	
77	240423.396	12436.404	0.000	
78	252921.121	12275.861	0.000	
79	266076.631	12197.283	0.000	
80	279915.556	11997.012	0.000	
81	294461.286	11845.565	0.000	
82	309743.509	11675.469	0.000	
83	325850.724	11483.827	0.000	
84	342815.859	11252.117	0.000	
85	360672.728	11078.916	0.000	
86	379390.306	10913.147	0.000	
87	399137.309	10684.810	0.000	
88	419882.933	10514.026	0.000	
89	441738.998	10261.757	0.000	
90	464673.101	10037.448	0.000	
91	488877.434	9790.786	0.000	
92	514250.851	9624.828	0.000	
93	540991.880	9302.421	0.000	
94	569155.029	9115.639	0.000	
95	598717.829	8847.040	0.000	
96	629896.800	8655.373	0.000	
97	662583.491	8369.221	0.000	
98	697103.286	8122.100	0.000	
99	733349.150	7886.849	0.000	
100	771478.598	7632.784	0.000	
101	811564.102	7377.127	0.000	
102	853783.464	7058.235	0.000	
103	898114.561	6828.226	0.000	
104	944842.905	6552.713	0.000	
105	993968.593	6253.658	0.000	
106	1045680.866	5944.354	0.000	
107	1100091.733	5681.602	0.000	
108	1157299.717	5371.726	0.000	
109	1217411.263	5080.590	0.000	
110	1280662.208	4813.613	0.000	
111	1347303.982	4527.404	0.000	
112	1417331.315	4277.719	0.000	
113	1491014.798	3970.876	0.000	
114	1568622.711	3711.841	0.000	
115	1650179.505	3430.406	0.000	
116	1735974.457	3183.816	0.000	
117	1826170.628	2936.259	0.000	
118	1921238.331	2707.069	0.000	
119	2021068.717	2467.792	0.000	
120	2126141.575	2254.907	0.000	
121	2236676.672	2030.164	0.000	
122	2353039.731	1833.081	0.000	
123	2475466.607	1654.750	0.000	
124	2604191.249	1461.338	0.000	
125	2739453.487	1312.127	0.000	
126	2882051.483	1146.384	0.000	
127	3031907.711	1004.412	0.000	
128	3189486.130	872.073	0.000	
