#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.603,3.428)		
1	9209.284	13078.670	0.000	
2	9682.766	13016.221	0.000	
3	10197.914	12994.770	0.000	
4	10726.412	12973.605	0.000	
5	11283.939	12980.874	0.000	
6	11871.671	12953.405	0.000	
7	12490.818	12962.111	0.000	
8	13125.703	12974.762	0.000	
9	13811.005	12962.144	0.000	
10	14531.536	12983.955	0.000	
11	15288.637	12949.487	0.000	
12	16083.681	12963.836	0.000	
13	16918.075	12974.054	0.000	
14	17793.257	12947.056	0.000	
15	18730.898	12986.440	0.000	
16	19692.614	12925.208	0.000	
17	20720.888	12915.917	0.000	
18	21797.121	12885.224	0.000	
19	22945.306	12907.269	0.000	
20	24122.961	12943.716	0.000	
21	25377.102	12866.431	0.000	
22	26711.260	12875.828	0.000	
23	28079.596	12833.173	0.000	
24	29558.209	12839.618	0.000	
25	31074.760	12822.107	0.000	
26	32709.305	12827.995	0.000	
27	34413.126	12787.270	0.000	
28	36188.283	12773.077	0.000	
29	38065.669	12765.979	0.000	
30	40049.600	12686.908	0.000	
31	42144.521	12710.532	0.000	
32	44323.922	12687.479	0.000	
33	46621.998	12660.251	0.000	
34	49043.522	12623.837	0.000	
35	51593.399	12605.454	0.000	
36	54276.662	12617.890	0.000	
37	57133.764	12552.998	0.000	
38	60100.335	12570.338	0.000	
39	63216.207	12488.804	0.000	
40	66486.935	12483.603	0.000	
41	69957.255	12411.538	0.000	
42	73595.936	12414.710	0.000	
43	77408.993	12264.991	0.000	
44	81444.703	12322.284	0.000	
45	85669.361	12241.762	0.000	
46	90133.760	12183.095	0.000	
47	94802.442	12167.707	0.000	
48	99728.826	12112.131	0.000	
49	104923.406	12055.595	0.000	
50	110396.974	11971.709	0.000	
51	116160.612	11939.432	0.000	
52	122174.089	11888.862	0.000	
53	128550.454	11814.312	0.000	
54	135199.664	11759.001	0.000	
55	142235.384	11660.952	0.000	
56	149624.157	11594.939	0.000	
57	157433.112	11514.141	0.000	
58	165621.479	11461.022	0.000	
59	174199.847	11369.800	0.000	
60	183249.354	11292.170	0.000	
61	192789.102	11182.389	0.000	
62	202835.496	11084.722	0.000	
63	213408.449	11007.930	0.000	
64	224460.478	10933.794	0.000	
65	236150.101	10809.838	0.000	
66	248429.269	10687.713	0.000	
67	261323.640	10559.579	0.000	
68	274931.158	10456.259	0.000	
69	289199.978	10343.838	0.000	
70	304236.798	10210.810	0.000	
71	320072.186	10051.449	0.000	
72	336741.686	9891.081	0.000	
73	354269.292	9750.371	0.000	
74	372692.079	9615.243	0.000	
75	392043.887	9500.194	0.000	
76	412456.022	9330.336	0.000	
77	433872.251	9248.641	0.000	
78	456425.863	8994.595	0.000	
79	480166.527	8810.688	0.000	
80	505140.492	8649.594	0.000	
81	531389.970	8476.536	0.000	
82	558968.535	8292.581	0.000	
83	588035.896	8047.816	0.000	
84	618651.474	7953.040	0.000	
85	650876.292	7661.535	0.000	
86	684654.359	7471.532	0.000	
87	720290.146	7230.556	0.000	
88	757728.059	7030.711	0.000	
89	797169.895	6821.189	0.000	
90	838557.179	6560.703	0.000	
91	882236.739	6334.030	0.000	
92	928026.050	6126.245	0.000	
93	976283.378	5873.850	0.000	
94	1027107.086	5641.711	0.000	
95	1080456.630	5384.550	0.000	
96	1136722.746	5135.371	0.000	
97	1195709.718	4912.404	0.000	
98	1258004.742	4693.993	0.000	
99	1323414.659	4459.516	0.000	
100	1392223.726	4214.284	0.000	
101	1464562.725	3959.468	0.000	
102	1540752.522	3706.790	0.000	
103	1620753.191	3494.401	0.000	
104	1705079.977	3257.460	0.000	
105	1793733.049	3048.594	0.000	
106	1887053.919	2823.452	0.000	
107	1985244.718	2616.135	0.000	
108	2088483.242	2405.784	0.000	
109	2196961.587	2194.655	0.000	
110	2311105.344	2015.586	0.000	
111	2431368.251	1837.437	0.000	
112	2557740.797	1674.397	0.000	
113	2690711.294	1500.955	0.000	
114	2830763.886	1350.075	0.000	
115	2977942.699	1204.087	0.000	
116	3132769.766	1068.512	0.000	
117	3295539.348	937.501	0.000	
118	3467100.182	829.301	0.000	
119	3647255.836	712.884	0.000	
120	3836872.148	634.977	0.000	
121	4036345.711	536.382	0.000	
122	4246336.515	453.600	0.000	
123	4467270.189	384.686	0.000	
124	4699568.923	313.125	0.000	
125	4943665.515	267.471	0.000	
126	5201000.344	222.795	0.000	
127	5471433.505	197.891	0.000	
128	5755802.267	171.823	0.000	
