#	X(I)	Y(X)	Y'(X)	Y1(X)	Y1'(X)	
Model	ARR_DATA(I)	Integral(3.582,3.424)		Integral(3.422,3.370)		
117	7293233.854	1023.332	0.000	60.087	0.000	
118	7356770.640	978.620	0.000	59.517	0.000	
119	7418214.651	963.073	0.000	66.001	0.000	
120	7482292.350	919.568	0.000	60.767	0.000	
121	7544257.239	857.903	0.000	41.067	0.000	
122	7606477.654	830.910	0.000	45.779	0.000	
123	7668953.594	791.109	0.000	53.063	0.000	
124	7731685.060	751.238	0.000	50.166	0.000	
125	7794672.051	739.888	0.000	45.420	0.000	
126	7857914.567	716.604	0.000	52.595	0.000	
127	7921412.608	699.886	0.000	47.263	0.000	
128	7985166.175	666.206	0.000	46.356	0.000	
