#	X(I)	Y(X)	Y'(X)	Y1(X)	Y1'(X)	
Model	ARR_DATA(I)	Integral(3.582,3.424)		Integral(3.422,3.370)		
1	12776.266	77795.657	0.000	1847.070	0.000	
2	75490.344	74362.990	0.000	1830.641	0.000	
3	138162.275	71682.043	0.000	1799.024	0.000	
4	200897.520	69111.583	0.000	1762.211	0.000	
5	263607.062	66565.397	0.000	1714.033	0.000	
6	326323.218	64074.446	0.000	1663.579	0.000	
7	389189.439	61544.411	0.000	1612.072	0.000	
8	451727.182	59553.119	0.000	1559.194	0.000	
9	514547.098	57390.380	0.000	1516.163	0.000	
10	577484.194	55307.833	0.000	1456.670	0.000	
11	639871.683	53259.370	0.000	1415.653	0.000	
12	703269.366	51284.039	0.000	1360.643	0.000	
13	765851.901	49542.804	0.000	1318.666	0.000	
14	828725.304	47751.822	0.000	1279.958	0.000	
15	891614.016	45986.330	0.000	1227.967	0.000	
16	954252.684	44341.547	0.000	1180.206	0.000	
17	1016386.159	42707.171	0.000	1142.275	0.000	
18	1079575.567	41208.643	0.000	1104.084	0.000	
19	1141881.409	39633.190	0.000	1064.725	0.000	
20	1204980.476	38136.187	0.000	1037.317	0.000	
21	1267817.591	36865.996	0.000	1003.910	0.000	
22	1330245.337	35550.766	0.000	975.789	0.000	
23	1393146.900	34181.088	0.000	940.861	0.000	
24	1456451.975	32919.102	0.000	909.389	0.000	
25	1519019.579	31704.340	0.000	871.359	0.000	
26	1581809.256	30641.421	0.000	853.345	0.000	
27	1644755.234	29542.608	0.000	823.006	0.000	
28	1706656.809	28409.936	0.000	799.828	0.000	
29	1769701.822	27370.825	0.000	782.780	0.000	
30	1832713.005	26412.839	0.000	750.249	0.000	
31	1895629.121	25454.645	0.000	729.924	0.000	
32	1958390.071	24523.357	0.000	708.355	0.000	
33	2020936.885	23636.785	0.000	685.765	0.000	
34	2083211.731	22738.981	0.000	660.814	0.000	
35	2146431.568	21945.614	0.000	646.621	0.000	
36	2209303.837	21147.410	0.000	623.775	0.000	
37	2271772.973	20342.573	0.000	596.119	0.000	
38	2335113.012	19600.451	0.000	590.803	0.000	
39	2397977.343	18899.972	0.000	575.320	0.000	
40	2460312.669	18239.095	0.000	562.537	0.000	
41	2523447.834	17545.805	0.000	536.876	0.000	
42	2585984.442	16907.217	0.000	517.531	0.000	
43	2649286.493	16305.785	0.000	511.397	0.000	
44	2711921.947	15719.044	0.000	490.319	0.000	
45	2773840.910	15184.127	0.000	487.547	0.000	
46	2836458.788	14641.809	0.000	481.923	0.000	
47	2899775.580	14074.753	0.000	459.183	0.000	
48	2962294.612	13577.373	0.000	449.285	0.000	
49	3025480.429	13045.139	0.000	434.121	0.000	
50	3087804.981	12574.044	0.000	420.480	0.000	
51	3150764.945	12164.862	0.000	408.569	0.000	
52	3212801.654	11715.222	0.000	409.235	0.000	
53	3277016.943	11272.921	0.000	384.084	0.000	
54	3338689.453	10876.018	0.000	382.917	0.000	
55	3402540.542	10472.987	0.000	368.860	0.000	
56	3465377.658	10086.595	0.000	359.268	0.000	
57	3527156.573	9715.674	0.000	341.255	0.000	
58	3589481.315	9341.324	0.000	335.873	0.000	
59	3652351.883	9041.887	0.000	326.294	0.000	
60	3715768.277	8721.093	0.000	320.837	0.000	
61	3778040.289	8391.594	0.000	313.161	0.000	
62	3840829.776	8061.574	0.000	291.154	0.000	
63	3904136.741	7789.380	0.000	283.642	0.000	
64	3966229.393	7506.519	0.000	282.399	0.000	
65	4028811.928	7209.056	0.000	276.267	0.000	
66	4091884.346	6935.134	0.000	257.070	0.000	
67	4155446.647	6708.193	0.000	258.670	0.000	
68	4217712.988	6417.986	0.000	254.824	0.000	
69	4280442.375	6214.666	0.000	241.540	0.000	
70	4343634.806	5994.801	0.000	231.803	0.000	
71	4405465.129	5750.178	0.000	222.811	0.000	
72	4469570.421	5542.861	0.000	229.195	0.000	
73	4532287.523	5330.738	0.000	207.485	0.000	
74	4593577.878	5155.860	0.000	214.685	0.000	
75	4657156.055	4989.647	0.000	207.009	0.000	
76	4719282.160	4778.397	0.000	196.421	0.000	
77	4781819.902	4596.566	0.000	189.574	0.000	
78	4844769.282	4419.628	0.000	190.594	0.000	
79	4908130.300	4283.779	0.000	173.926	0.000	
80	4971902.956	4114.788	0.000	180.049	0.000	
81	5034136.223	3951.310	0.000	163.263	0.000	
82	5096756.557	3828.464	0.000	163.585	0.000	
83	5159763.960	3670.243	0.000	158.866	0.000	
84	5221171.494	3557.535	0.000	151.189	0.000	
85	5284940.937	3418.702	0.000	148.396	0.000	
86	5347086.697	3290.331	0.000	146.640	0.000	
87	5409595.712	3181.439	0.000	145.642	0.000	
88	5472467.981	3083.864	0.000	147.466	0.000	
89	5535703.504	2936.574	0.000	136.133	0.000	
90	5599302.282	2835.845	0.000	134.826	0.000	
91	5661195.352	2703.077	0.000	129.967	0.000	
92	5723428.619	2607.223	0.000	130.342	0.000	
93	5786002.082	2537.601	0.000	127.416	0.000	
94	5848915.741	2403.628	0.000	114.632	0.000	
95	5912169.597	2333.205	0.000	110.736	0.000	
96	5975763.650	2261.468	0.000	108.597	0.000	
97	6037561.276	2189.027	0.000	106.964	0.000	
98	6101824.381	2086.273	0.000	103.289	0.000	
99	6164268.759	2043.003	0.000	105.795	0.000	
100	6227031.031	1948.900	0.000	88.517	0.000	
101	6290111.198	1875.871	0.000	101.336	0.000	
102	6351317.827	1792.037	0.000	94.872	0.000	
103	6415022.822	1757.591	0.000	87.953	0.000	
104	6476832.733	1654.113	0.000	89.251	0.000	
105	6541162.554	1598.564	0.000	87.975	0.000	
106	6603575.747	1529.406	0.000	84.254	0.000	
107	6666285.289	1486.832	0.000	76.144	0.000	
108	6729291.179	1439.323	0.000	93.691	0.000	
109	6790327.522	1379.361	0.000	72.104	0.000	
110	6853915.526	1316.239	0.000	65.214	0.000	
111	6917799.880	1258.447	0.000	72.128	0.000	
112	6979683.311	1218.851	0.000	67.422	0.000	
113	7041842.301	1212.450	0.000	74.531	0.000	
114	7104276.851	1134.613	0.000	65.806	0.000	
115	7166986.960	1069.739	0.000	65.972	0.000	
116	7229972.628	1082.529	0.000	67.143	0.000	
