#	X(I)	Y(X)	Y'(X)	Y1(X)	Y1'(X)	
Model	ARR_DATA(I)	Integral(3.569,3.425)		Integral(3.419,3.367)		
1	20796.004	59699.296	0.000	843.058	0.000	
2	122876.080	57276.296	0.000	887.512	0.000	
3	224887.554	55175.207	0.000	872.781	0.000	
4	327002.086	53255.505	0.000	863.314	0.000	
5	429074.779	51284.586	0.000	828.255	0.000	
6	531158.240	49420.601	0.000	838.249	0.000	
7	633485.961	47692.611	0.000	805.664	0.000	
8	735279.015	45947.606	0.000	771.155	0.000	
9	837531.366	44227.252	0.000	742.380	0.000	
10	939974.450	42671.397	0.000	715.040	0.000	
11	1041522.936	41130.745	0.000	693.279	0.000	
12	1144715.722	39641.651	0.000	666.479	0.000	
13	1246581.686	38261.759	0.000	656.318	0.000	
14	1348921.097	36828.633	0.000	631.256	0.000	
15	1451285.426	35477.424	0.000	590.187	0.000	
16	1553242.757	34228.152	0.000	569.785	0.000	
17	1654377.785	32981.993	0.000	559.032	0.000	
18	1757231.558	31788.977	0.000	541.543	0.000	
19	1858647.147	30654.731	0.000	514.067	0.000	
20	1961353.872	29543.841	0.000	500.993	0.000	
21	2063634.218	28477.901	0.000	496.594	0.000	
22	2165248.230	27467.756	0.000	475.420	0.000	
23	2267633.479	26453.189	0.000	446.909	0.000	
24	2370675.524	25520.261	0.000	437.306	0.000	
25	2472517.185	24575.577	0.000	428.155	0.000	
26	2574720.315	23707.607	0.000	411.323	0.000	
27	2677177.857	22835.251	0.000	401.942	0.000	
28	2777935.418	22053.422	0.000	391.318	0.000	
29	2880554.161	21233.693	0.000	376.512	0.000	
30	2983117.836	20488.613	0.000	368.919	0.000	
31	3085526.773	19731.679	0.000	350.959	0.000	
32	3187683.142	19048.781	0.000	339.796	0.000	
33	3289490.963	18320.939	0.000	335.860	0.000	
34	3390856.100	17717.717	0.000	323.870	0.000	
35	3493759.403	17066.470	0.000	328.739	0.000	
36	3596096.969	16412.954	0.000	311.901	0.000	
37	3697778.352	15865.416	0.000	299.349	0.000	
38	3800877.310	15298.100	0.000	300.809	0.000	
39	3903201.955	14727.989	0.000	292.417	0.000	
40	4004665.534	14205.576	0.000	278.012	0.000	
41	4107431.017	13724.988	0.000	279.359	0.000	
42	4209222.226	13249.824	0.000	269.696	0.000	
43	4312259.350	12748.917	0.000	257.830	0.000	
44	4414211.451	12313.698	0.000	261.791	0.000	
45	4514997.314	11860.185	0.000	251.828	0.000	
46	4616920.805	11446.615	0.000	242.658	0.000	
47	4719981.924	10998.810	0.000	231.920	0.000	
48	4821744.523	10615.205	0.000	224.640	0.000	
49	4924592.452	10244.842	0.000	220.638	0.000	
50	5026038.496	9887.679	0.000	210.769	0.000	
51	5128518.804	9526.809	0.000	211.694	0.000	
52	5229496.323	9154.184	0.000	198.295	0.000	
53	5334019.930	8880.277	0.000	206.621	0.000	
54	5434404.640	8574.010	0.000	195.283	0.000	
55	5538335.437	8274.034	0.000	191.821	0.000	
56	5640615.783	7931.650	0.000	180.694	0.000	
57	5741173.690	7639.467	0.000	176.599	0.000	
58	5842620.042	7357.590	0.000	170.357	0.000	
59	5944954.839	7110.869	0.000	168.904	0.000	
60	6048178.081	6859.493	0.000	166.421	0.000	
61	6149538.603	6631.071	0.000	166.680	0.000	
62	6251741.425	6401.657	0.000	153.721	0.000	
63	6354786.547	6156.475	0.000	143.868	0.000	
64	6455855.125	5952.320	0.000	143.766	0.000	
65	6557721.089	5690.172	0.000	126.912	0.000	
66	6660384.438	5533.176	0.000	136.557	0.000	
67	6763845.172	5324.119	0.000	128.071	0.000	
68	6865196.466	5127.472	0.000	124.495	0.000	
69	6967301.460	4981.316	0.000	125.880	0.000	
70	7070160.156	4738.059	0.000	113.141	0.000	
71	7170801.740	4623.087	0.000	124.563	0.000	
72	7275146.304	4429.378	0.000	104.454	0.000	
73	7377231.303	4262.683	0.000	97.697	0.000	
74	7476993.979	4127.411	0.000	98.601	0.000	
75	7580480.554	3945.810	0.000	94.573	0.000	
76	7681603.584	3785.203	0.000	84.192	0.000	
77	7783396.638	3677.690	0.000	93.345	0.000	
78	7885859.718	3526.331	0.000	82.009	0.000	
79	7988992.823	3427.987	0.000	80.839	0.000	
80	8092795.953	3251.571	0.000	73.349	0.000	
81	8194093.410	3162.506	0.000	70.171	0.000	
82	8296020.901	3025.180	0.000	69.013	0.000	
83	8398578.424	2957.017	0.000	73.364	0.000	
84	8498531.832	2809.161	0.000	56.903	0.000	
85	8602329.732	2737.865	0.000	61.879	0.000	
86	8703484.756	2617.938	0.000	59.164	0.000	
87	8805231.050	2528.810	0.000	64.839	0.000	
88	8907568.616	2436.056	0.000	59.376	0.000	
89	9010497.452	2341.880	0.000	52.109	0.000	
90	9114017.560	2231.088	0.000	54.466	0.000	
91	9214761.277	2160.812	0.000	49.433	0.000	
92	9316058.735	2104.692	0.000	51.130	0.000	
93	9417909.932	2027.335	0.000	56.105	0.000	
94	9520314.869	1920.718	0.000	46.650	0.000	
95	9623273.546	1861.853	0.000	40.807	0.000	
96	9726785.963	1789.849	0.000	44.582	0.000	
97	9827374.326	1738.706	0.000	53.015	0.000	
98	9931975.764	1730.004	0.000	61.047	0.000	
99	10033616.848	1630.927	0.000	45.431	0.000	
100	10135775.371	1536.071	0.000	42.793	0.000	
101	10238451.333	1538.469	0.000	54.096	0.000	
102	10338077.727	1489.118	0.000	51.461	0.000	
103	10441770.724	1465.879	0.000	51.474	0.000	
104	10542379.083	1372.206	0.000	43.859	0.000	
105	10647089.116	1299.037	0.000	40.038	0.000	
106	10748679.440	1270.572	0.000	34.718	0.000	
107	10850752.134	1207.636	0.000	37.074	0.000	
108	10953307.196	1212.268	0.000	41.657	0.000	
109	11052656.412	1162.318	0.000	45.442	0.000	
110	11156158.985	1117.192	0.000	35.796	0.000	
111	11260143.926	1056.337	0.000	26.937	0.000	
112	11360871.954	987.145	0.000	28.018	0.000	
113	11462048.512	953.396	0.000	20.453	0.000	
114	11563673.599	979.171	0.000	40.060	0.000	
115	11665747.215	945.982	0.000	35.321	0.000	
116	11768269.361	911.632	0.000	28.749	0.000	
117	11871240.035	841.060	0.000	18.497	0.000	
118	11974659.239	820.980	0.000	30.242	0.000	
119	12074672.020	860.386	0.000	25.611	0.000	
120	12178971.670	776.589	0.000	16.703	0.000	
121	12279832.289	741.962	0.000	8.988	0.000	
122	12381108.827	710.631	0.000	11.256	0.000	
123	12482801.286	651.673	0.000	15.047	0.000	
124	12584909.664	638.009	0.000	14.134	0.000	
125	12687433.963	618.837	0.000	13.587	0.000	
126	12790374.182	624.403	0.000	17.938	0.000	
127	12893730.321	571.573	0.000	13.065	0.000	
128	12997502.380	544.354	0.000	9.096	0.000	
