#	X(I)	Y(X)	Y'(X)	Y1(X)	Y1'(X)	
Model	ARR_DATA(I)	Integral(3.574,3.429)		Integral(3.429,3.367)		
1	8182.798	73401.655	0.000	3805.146	0.000	
2	48349.201	70230.083	0.000	3711.062	0.000	
3	88488.611	67530.980	0.000	3594.551	0.000	
4	128668.571	65224.539	0.000	3495.989	0.000	
5	168832.069	62804.475	0.000	3347.882	0.000	
6	208999.803	60446.808	0.000	3223.326	0.000	
7	249263.649	58281.670	0.000	3090.327	0.000	
8	289317.115	56178.138	0.000	2983.558	0.000	
9	329551.305	53970.535	0.000	2837.040	0.000	
10	369860.543	52146.924	0.000	2756.031	0.000	
11	409817.777	50060.261	0.000	2618.265	0.000	
12	450422.008	48239.190	0.000	2530.238	0.000	
13	490504.162	46365.044	0.000	2430.478	0.000	
14	530772.608	44725.468	0.000	2335.836	0.000	
15	571050.858	43035.450	0.000	2239.305	0.000	
16	611168.963	41554.006	0.000	2150.292	0.000	
17	650963.509	39915.627	0.000	2066.423	0.000	
18	691434.346	38532.683	0.000	2009.699	0.000	
19	731339.287	37022.533	0.000	1933.940	0.000	
20	771752.263	35743.249	0.000	1861.207	0.000	
21	811997.468	34419.041	0.000	1793.849	0.000	
22	851980.484	33035.967	0.000	1727.296	0.000	
23	892266.966	31984.447	0.000	1659.285	0.000	
24	932811.884	30778.425	0.000	1603.614	0.000	
25	972884.475	29698.145	0.000	1547.645	0.000	
26	1013099.297	28477.903	0.000	1487.413	0.000	
27	1053414.225	27567.251	0.000	1429.391	0.000	
28	1093060.246	26492.109	0.000	1371.647	0.000	
29	1133438.603	25510.163	0.000	1320.926	0.000	
30	1173795.292	24577.022	0.000	1282.928	0.000	
31	1214091.095	23711.365	0.000	1232.386	0.000	
32	1254287.517	22784.272	0.000	1184.664	0.000	
33	1294346.793	22006.223	0.000	1143.629	0.000	
34	1334231.882	21205.217	0.000	1097.929	0.000	
35	1374722.208	20352.955	0.000	1059.927	0.000	
36	1414989.928	19659.562	0.000	1021.911	0.000	
37	1454999.453	18934.056	0.000	985.885	0.000	
38	1495566.765	18168.000	0.000	947.068	0.000	
39	1535829.401	17547.978	0.000	920.693	0.000	
40	1575753.225	16939.114	0.000	880.240	0.000	
41	1616189.321	16316.864	0.000	844.550	0.000	
42	1656242.061	15705.273	0.000	819.074	0.000	
43	1696785.042	15138.616	0.000	788.555	0.000	
44	1736901.089	14574.851	0.000	761.698	0.000	
45	1776558.246	14053.977	0.000	740.544	0.000	
46	1816663.036	13526.963	0.000	719.722	0.000	
47	1857215.459	13041.922	0.000	693.364	0.000	
48	1897256.941	12549.581	0.000	664.937	0.000	
49	1937725.478	12125.326	0.000	637.539	0.000	
50	1977642.402	11648.114	0.000	620.106	0.000	
51	2017966.288	11266.885	0.000	591.295	0.000	
52	2057698.857	10800.948	0.000	587.445	0.000	
53	2098826.739	10408.436	0.000	556.017	0.000	
54	2138326.050	10047.032	0.000	540.856	0.000	
55	2179220.674	9688.958	0.000	515.230	0.000	
56	2219465.879	9347.941	0.000	508.150	0.000	
57	2259033.340	8962.174	0.000	492.306	0.000	
58	2298950.385	8650.954	0.000	474.033	0.000	
59	2339217.015	8292.225	0.000	457.341	0.000	
60	2379833.230	8026.828	0.000	439.114	0.000	
61	2419716.503	7721.904	0.000	424.000	0.000	
62	2459931.204	7430.772	0.000	411.426	0.000	
63	2500477.333	7185.041	0.000	397.321	0.000	
64	2540245.732	6912.445	0.000	388.671	0.000	
65	2580327.886	6667.617	0.000	375.462	0.000	
66	2620723.795	6402.338	0.000	358.651	0.000	
67	2661433.458	6155.424	0.000	344.249	0.000	
68	2701313.100	5944.030	0.000	336.807	0.000	
69	2741489.308	5768.116	0.000	325.148	0.000	
70	2781962.082	5528.939	0.000	321.629	0.000	
71	2821562.467	5361.554	0.000	302.749	0.000	
72	2862619.900	5133.284	0.000	294.711	0.000	
73	2902788.239	4966.853	0.000	289.240	0.000	
74	2942042.793	4813.045	0.000	283.674	0.000	
75	2982762.624	4615.377	0.000	269.769	0.000	
76	3022552.449	4461.415	0.000	269.134	0.000	
77	3062605.915	4270.348	0.000	255.431	0.000	
78	3102923.022	4113.796	0.000	250.259	0.000	
79	3143503.770	3962.902	0.000	237.060	0.000	
80	3184348.159	3815.295	0.000	228.659	0.000	
81	3224206.617	3655.988	0.000	220.666	0.000	
82	3264312.981	3535.278	0.000	215.711	0.000	
83	3304667.249	3416.058	0.000	213.424	0.000	
84	3343996.852	3290.604	0.000	201.867	0.000	
85	3384839.183	3128.436	0.000	194.810	0.000	
86	3424641.597	3039.265	0.000	185.883	0.000	
87	3464676.663	2969.948	0.000	184.938	0.000	
88	3504944.383	2837.382	0.000	182.803	0.000	
89	3545444.756	2750.336	0.000	177.917	0.000	
90	3586177.781	2645.562	0.000	167.917	0.000	
91	3625818.354	2572.391	0.000	170.872	0.000	
92	3665676.813	2477.547	0.000	167.667	0.000	
93	3705753.157	2344.148	0.000	146.343	0.000	
94	3746047.386	2290.069	0.000	142.917	0.000	
95	3786559.500	2202.723	0.000	148.449	0.000	
96	3827289.499	2116.976	0.000	138.210	0.000	
97	3866868.944	2030.236	0.000	136.594	0.000	
98	3908027.450	1960.370	0.000	126.264	0.000	
99	3948021.119	1889.105	0.000	133.811	0.000	
100	3988218.389	1819.372	0.000	124.019	0.000	
101	4028619.261	1755.816	0.000	125.961	0.000	
102	4067820.190	1710.700	0.000	117.891	0.000	
103	4108621.244	1616.034	0.000	115.674	0.000	
104	4148208.557	1600.794	0.000	111.644	0.000	
105	4189409.793	1514.218	0.000	102.146	0.000	
106	4229383.489	1468.937	0.000	103.372	0.000	
107	4269546.987	1404.870	0.000	94.198	0.000	
108	4309900.287	1363.570	0.000	103.052	0.000	
109	4348992.153	1312.063	0.000	92.218	0.000	
110	4389718.279	1268.900	0.000	88.526	0.000	
111	4430634.206	1221.922	0.000	91.523	0.000	
112	4470268.607	1191.365	0.000	99.127	0.000	
113	4510079.494	1138.086	0.000	87.231	0.000	
114	4550066.868	1096.458	0.000	84.004	0.000	
115	4590230.729	1061.912	0.000	89.571	0.000	
116	4630571.077	1001.640	0.000	83.078	0.000	
117	4671087.911	960.374	0.000	67.409	0.000	
118	4711781.233	939.244	0.000	79.249	0.000	
119	4751134.198	892.116	0.000	70.457	0.000	
120	4792173.958	861.061	0.000	66.069	0.000	
121	4831860.529	831.271	0.000	61.206	0.000	
122	4871710.757	806.312	0.000	64.717	0.000	
123	4911724.640	786.379	0.000	65.531	0.000	
124	4951902.179	738.736	0.000	61.922	0.000	
125	4992243.375	720.390	0.000	63.939	0.000	
126	5032748.226	706.230	0.000	58.713	0.000	
127	5073416.733	677.188	0.000	65.130	0.000	
128	5114248.896	637.226	0.000	53.067	0.000	
