#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.575,3.421)		
1	9209.284	13293.023	0.000	
2	54414.333	12887.489	0.000	
3	99589.002	12554.588	0.000	
4	144809.310	12230.524	0.000	
5	190011.089	11960.867	0.000	
6	235217.637	11681.786	0.000	
7	280532.353	11377.080	0.000	
8	325610.298	11088.468	0.000	
9	370891.637	10847.928	0.000	
10	416257.440	10604.729	0.000	
11	461227.081	10332.675	0.000	
12	506924.881	10095.973	0.000	
13	552035.113	9857.067	0.000	
14	597355.006	9608.764	0.000	
15	642685.933	9374.561	0.000	
16	687836.626	9174.531	0.000	
17	732623.171	8966.814	0.000	
18	778170.843	8765.631	0.000	
19	823081.631	8548.450	0.000	
20	868564.185	8360.290	0.000	
21	913857.922	8168.281	0.000	
22	958856.579	7994.956	0.000	
23	1004196.771	7808.634	0.000	
24	1049827.818	7708.906	0.000	
25	1094927.287	7460.762	0.000	
26	1140186.829	7301.643	0.000	
27	1185559.035	7145.699	0.000	
28	1230178.423	6958.911	0.000	
29	1275622.014	6807.303	0.000	
30	1321041.220	6680.816	0.000	
31	1366391.902	6485.635	0.000	
32	1411630.737	6305.232	0.000	
33	1456715.220	6197.425	0.000	
34	1501603.667	6026.706	0.000	
35	1547173.273	5910.762	0.000	
36	1592492.348	5730.195	0.000	
37	1637520.841	5606.308	0.000	
38	1683177.090	5490.792	0.000	
39	1728490.444	5348.780	0.000	
40	1773422.484	5237.331	0.000	
41	1818931.059	5114.563	0.000	
42	1864008.186	4981.626	0.000	
43	1909637.053	4884.528	0.000	
44	1954785.430	4781.912	0.000	
45	1999417.351	4656.361	0.000	
46	2044553.058	4566.689	0.000	
47	2090192.551	4466.121	0.000	
48	2135257.009	4358.705	0.000	
49	2180802.094	4266.099	0.000	
50	2225726.369	4155.164	0.000	
51	2271108.656	4059.930	0.000	
52	2315825.449	3982.499	0.000	
53	2362112.590	3876.897	0.000	
54	2406566.864	3794.756	0.000	
55	2452591.485	3705.842	0.000	
56	2497885.222	3616.375	0.000	
57	2542416.195	3535.831	0.000	
58	2587340.606	3452.601	0.000	
59	2632658.456	3386.520	0.000	
60	2678369.743	3308.146	0.000	
61	2723256.146	3220.262	0.000	
62	2768515.551	3150.875	0.000	
63	2814147.961	3081.570	0.000	
64	2858905.079	3017.634	0.000	
65	2904015.311	2945.926	0.000	
66	2949478.656	2876.978	0.000	
67	2995295.114	2810.265	0.000	
68	3040177.430	2769.574	0.000	
69	3085393.514	2701.059	0.000	
70	3130943.367	2633.594	0.000	
71	3175511.395	2583.573	0.000	
72	3221719.248	2523.358	0.000	
73	3266926.477	2466.543	0.000	
74	3311105.291	2412.512	0.000	
75	3356933.193	2348.724	0.000	
76	3401714.424	2303.215	0.000	
77	3446792.369	2262.291	0.000	
78	3492167.027	2208.313	0.000	
79	3537838.398	2157.448	0.000	
80	3583806.483	2111.190	0.000	
81	3628664.958	2063.602	0.000	
82	3673802.436	2012.014	0.000	
83	3719218.918	1974.080	0.000	
84	3763482.195	1929.984	0.000	
85	3809447.964	1887.032	0.000	
86	3854243.364	1858.987	0.000	
87	3899300.601	1813.757	0.000	
88	3944619.677	1777.044	0.000	
89	3990200.590	1741.069	0.000	
90	4036043.341	1705.020	0.000	
91	4080656.599	1662.310	0.000	
92	4125515.074	1628.821	0.000	
93	4170618.766	1597.114	0.000	
94	4215967.677	1559.034	0.000	
95	4261561.805	1522.953	0.000	
96	4307401.150	1492.250	0.000	
97	4351945.610	1454.760	0.000	
98	4398267.217	1428.397	0.000	
99	4443277.863	1396.674	0.000	
100	4488517.652	1358.106	0.000	
101	4533986.582	1337.304	0.000	
102	4578105.045	1307.885	0.000	
103	4624024.359	1277.976	0.000	
104	4668577.674	1242.543	0.000	
105	4714947.371	1218.299	0.000	
106	4759935.539	1195.210	0.000	
107	4805137.318	1167.656	0.000	
108	4850552.710	1142.706	0.000	
109	4894548.428	1118.784	0.000	
110	4940383.414	1097.691	0.000	
111	4986432.012	1072.271	0.000	
112	5031038.321	1046.794	0.000	
113	5075843.257	1027.032	0.000	
114	5120846.819	1004.742	0.000	
115	5166049.008	982.662	0.000	
116	5211449.822	967.098	0.000	
117	5257049.263	947.916	0.000	
118	5302847.330	924.070	0.000	
119	5347136.901	910.165	0.000	
120	5393324.864	883.889	0.000	
121	5437989.889	872.829	0.000	
122	5482839.101	848.862	0.000	
123	5527872.498	834.022	0.000	
124	5573090.080	814.493	0.000	
125	5618491.848	792.816	0.000	
126	5664077.802	776.036	0.000	
127	5709847.942	754.421	0.000	
128	5755802.267	743.936	0.000	
