#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.592,3.441)		
1	6629.973	15394.116	0.000	
2	39174.120	14897.313	0.000	
3	71696.396	14317.274	0.000	
4	104251.527	13910.511	0.000	
5	136793.319	13477.112	0.000	
6	169338.545	12959.363	0.000	
7	201961.643	12593.106	0.000	
8	234414.284	12238.498	0.000	
9	267013.354	11900.068	0.000	
10	299673.230	11463.516	0.000	
11	332047.901	11109.495	0.000	
12	364946.790	10684.705	0.000	
13	397422.676	10388.837	0.000	
14	430049.501	10143.872	0.000	
15	462684.270	9763.892	0.000	
16	495189.284	9457.711	0.000	
17	527432.139	9201.552	0.000	
18	560222.948	8873.196	0.000	
19	592555.250	8586.102	0.000	
20	625299.178	8350.402	0.000	
21	657907.173	8038.234	0.000	
22	690302.733	7834.899	0.000	
23	722944.172	7560.015	0.000	
24	755795.004	7341.563	0.000	
25	788263.141	7125.098	0.000	
26	820846.518	6882.364	0.000	
27	853511.005	6640.203	0.000	
28	885633.520	6482.817	0.000	
29	918349.399	6264.630	0.000	
30	951047.722	6076.544	0.000	
31	983696.712	5905.192	0.000	
32	1016265.181	5682.472	0.000	
33	1048722.530	5556.432	0.000	
34	1081038.747	5379.201	0.000	
35	1113845.346	5207.971	0.000	
36	1146471.583	5043.929	0.000	
37	1178888.622	4868.691	0.000	
38	1211757.598	4743.962	0.000	
39	1244379.716	4600.931	0.000	
40	1276727.317	4450.103	0.000	
41	1309489.978	4321.642	0.000	
42	1341942.031	4185.610	0.000	
43	1374791.294	4066.684	0.000	
44	1407294.640	3944.909	0.000	
45	1439426.179	3811.003	0.000	
46	1471920.405	3700.142	0.000	
47	1504777.317	3616.963	0.000	
48	1537220.249	3490.939	0.000	
49	1570009.194	3394.613	0.000	
50	1602351.205	3282.870	0.000	
51	1635022.949	3200.069	0.000	
52	1667215.590	3099.526	0.000	
53	1700538.758	2992.215	0.000	
54	1732542.405	2905.359	0.000	
55	1765676.580	2826.141	0.000	
56	1798284.574	2746.759	0.000	
57	1830343.438	2660.759	0.000	
58	1862685.547	2583.542	0.000	
59	1895310.901	2498.465	0.000	
60	1928219.500	2427.655	0.000	
61	1960534.246	2355.366	0.000	
62	1993117.525	2298.460	0.000	
63	2025969.337	2230.214	0.000	
64	2058191.008	2146.480	0.000	
65	2090666.894	2102.973	0.000	
66	2123396.993	2043.235	0.000	
67	2156381.307	1998.415	0.000	
68	2188693.111	1908.854	0.000	
69	2221245.201	1858.165	0.000	
70	2254037.580	1819.884	0.000	
71	2286123.120	1752.898	0.000	
72	2319389.208	1708.003	0.000	
73	2351934.924	1658.918	0.000	
74	2383740.260	1613.139	0.000	
75	2416732.813	1566.528	0.000	
76	2448971.843	1522.232	0.000	
77	2481424.484	1483.737	0.000	
78	2514090.736	1444.523	0.000	
79	2546970.599	1395.951	0.000	
80	2580064.072	1357.888	0.000	
81	2612358.712	1321.689	0.000	
82	2644854.212	1281.953	0.000	
83	2677550.574	1252.127	0.000	
84	2709416.717	1222.922	0.000	
85	2742508.523	1180.001	0.000	
86	2774757.754	1148.596	0.000	
87	2807195.487	1117.287	0.000	
88	2839821.724	1087.955	0.000	
89	2872636.464	1048.063	0.000	
90	2905639.706	1004.634	0.000	
91	2937757.808	1000.257	0.000	
92	2970052.448	969.957	0.000	
93	3002523.626	946.134	0.000	
94	3035171.341	923.515	0.000	
95	3067995.594	894.116	0.000	
96	3100996.385	866.082	0.000	
97	3133064.959	849.818	0.000	
98	3166412.941	826.026	0.000	
99	3198817.132	792.503	0.000	
100	3231386.288	784.501	0.000	
101	3264120.409	757.259	0.000	
102	3295882.297	741.617	0.000	
103	3328940.659	716.347	0.000	
104	3361015.607	703.705	0.000	
105	3394398.210	681.032	0.000	
106	3426786.219	675.690	0.000	
107	3459328.012	644.726	0.000	
108	3492023.588	627.831	0.000	
109	3523697.110	613.610	0.000	
110	3556694.762	597.857	0.000	
111	3589846.199	580.542	0.000	
112	3621959.299	564.266	0.000	
113	3654215.395	552.292	0.000	
114	3686614.486	544.009	0.000	
115	3719156.573	522.959	0.000	
116	3751841.655	519.117	0.000	
117	3784669.734	500.460	0.000	
118	3817640.807	487.690	0.000	
119	3849525.880	478.982	0.000	
120	3882777.648	461.091	0.000	
121	3914933.020	452.260	0.000	
122	3947220.990	436.559	0.000	
123	3979641.560	426.550	0.000	
124	4012194.730	420.784	0.000	
125	4044880.499	397.676	0.000	
126	4077698.868	394.967	0.000	
127	4110649.836	383.985	0.000	
128	4143733.403	373.111	0.000	
