#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.579,3.435)		
1	6629.973	15414.924	0.000	
2	39174.120	14811.169	0.000	
3	71696.396	14440.712	0.000	
4	104251.527	13997.270	0.000	
5	136793.319	13585.015	0.000	
6	169338.545	13010.429	0.000	
7	201961.643	12661.493	0.000	
8	234414.284	12349.119	0.000	
9	267013.354	11982.903	0.000	
10	299673.230	11655.995	0.000	
11	332047.901	11308.972	0.000	
12	364946.790	10970.359	0.000	
13	397422.676	10646.501	0.000	
14	430049.501	10305.364	0.000	
15	462684.270	10004.384	0.000	
16	495189.284	9686.624	0.000	
17	527432.139	9423.344	0.000	
18	560222.948	9135.318	0.000	
19	592555.250	8867.370	0.000	
20	625299.178	8616.721	0.000	
21	657907.173	8322.510	0.000	
22	690302.733	8134.536	0.000	
23	722944.172	7871.216	0.000	
24	755795.004	7652.574	0.000	
25	788263.141	7444.387	0.000	
26	820846.518	7214.849	0.000	
27	853511.005	6986.555	0.000	
28	885633.520	6832.627	0.000	
29	918349.399	6667.967	0.000	
30	951047.722	6417.801	0.000	
31	983696.712	6197.564	0.000	
32	1016265.181	6052.085	0.000	
33	1048722.530	5888.347	0.000	
34	1081038.747	5743.077	0.000	
35	1113845.346	5543.325	0.000	
36	1146471.583	5402.121	0.000	
37	1178888.622	5255.362	0.000	
38	1211757.598	5113.770	0.000	
39	1244379.716	4981.353	0.000	
40	1276727.317	4856.082	0.000	
41	1309489.978	4707.252	0.000	
42	1341942.031	4548.277	0.000	
43	1374791.294	4446.629	0.000	
44	1407294.640	4315.342	0.000	
45	1439426.179	4191.083	0.000	
46	1471920.405	4090.654	0.000	
47	1504777.317	3994.948	0.000	
48	1537220.249	3844.690	0.000	
49	1570009.194	3749.162	0.000	
50	1602351.205	3652.038	0.000	
51	1635022.949	3565.545	0.000	
52	1667215.590	3449.760	0.000	
53	1700538.758	3398.194	0.000	
54	1732542.405	3280.665	0.000	
55	1765676.580	3188.640	0.000	
56	1798284.574	3103.549	0.000	
57	1830343.438	3032.253	0.000	
58	1862685.547	2944.493	0.000	
59	1895310.901	2881.174	0.000	
60	1928219.500	2798.177	0.000	
61	1960534.246	2714.847	0.000	
62	1993117.525	2644.358	0.000	
63	2025969.337	2581.221	0.000	
64	2058191.008	2520.029	0.000	
65	2090666.894	2452.313	0.000	
66	2123396.993	2389.865	0.000	
67	2156381.307	2322.597	0.000	
68	2188693.111	2258.285	0.000	
69	2221245.201	2201.247	0.000	
70	2254037.580	2147.603	0.000	
71	2286123.120	2099.543	0.000	
72	2319389.208	2048.721	0.000	
73	2351934.924	1999.093	0.000	
74	2383740.260	1939.859	0.000	
75	2416732.813	1910.043	0.000	
76	2448971.843	1859.766	0.000	
77	2481424.484	1801.073	0.000	
78	2514090.736	1758.789	0.000	
79	2546970.599	1703.197	0.000	
80	2580064.072	1668.949	0.000	
81	2612358.712	1624.497	0.000	
82	2644854.212	1583.341	0.000	
83	2677550.574	1559.216	0.000	
84	2709416.717	1522.457	0.000	
85	2742508.523	1480.879	0.000	
86	2774757.754	1436.722	0.000	
87	2807195.487	1413.104	0.000	
88	2839821.724	1378.820	0.000	
89	2872636.464	1352.540	0.000	
90	2905639.706	1313.200	0.000	
91	2937757.808	1269.638	0.000	
92	2970052.448	1252.139	0.000	
93	3002523.626	1222.521	0.000	
94	3035171.341	1189.911	0.000	
95	3067995.594	1162.381	0.000	
96	3100996.385	1124.393	0.000	
97	3133064.959	1095.004	0.000	
98	3166412.941	1084.514	0.000	
99	3198817.132	1052.969	0.000	
100	3231386.288	1044.374	0.000	
101	3264120.409	1013.459	0.000	
102	3295882.297	986.192	0.000	
103	3328940.659	948.457	0.000	
104	3361015.607	947.017	0.000	
105	3394398.210	928.057	0.000	
106	3426786.219	908.633	0.000	
107	3459328.012	886.594	0.000	
108	3492023.588	866.232	0.000	
109	3523697.110	836.804	0.000	
110	3556694.762	824.596	0.000	
111	3589846.199	804.749	0.000	
112	3621959.299	781.584	0.000	
113	3654215.395	763.323	0.000	
114	3686614.486	744.464	0.000	
115	3719156.573	754.270	0.000	
116	3751841.655	731.765	0.000	
117	3784669.734	711.470	0.000	
118	3817640.807	688.528	0.000	
119	3849525.880	678.301	0.000	
120	3882777.648	669.848	0.000	
121	3914933.020	638.545	0.000	
122	3947220.990	638.213	0.000	
123	3979641.560	622.708	0.000	
124	4012194.730	609.411	0.000	
125	4044880.499	592.069	0.000	
126	4077698.868	580.924	0.000	
127	4110649.836	576.219	0.000	
128	4143733.403	553.426	0.000	
