#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.568,3.420)		
1	13532.107	11970.024	0.000	
2	79956.338	11328.219	0.000	
3	146335.928	10811.480	0.000	
4	212782.579	10341.661	0.000	
5	279202.005	9919.340	0.000	
6	345628.437	9490.976	0.000	
7	412213.811	9111.029	0.000	
8	478451.275	8747.844	0.000	
9	544987.605	8406.800	0.000	
10	611648.047	8076.762	0.000	
11	677726.368	7774.591	0.000	
12	744874.646	7465.998	0.000	
13	811159.552	7191.956	0.000	
14	877752.533	6899.336	0.000	
15	944361.729	6663.707	0.000	
16	1010706.088	6414.064	0.000	
17	1076515.368	6171.719	0.000	
18	1143443.049	5907.016	0.000	
19	1209434.892	5713.451	0.000	
20	1276266.888	5492.412	0.000	
21	1342821.435	5291.511	0.000	
22	1408942.394	5082.310	0.000	
23	1475565.202	4904.330	0.000	
24	1542615.392	4718.782	0.000	
25	1608884.484	4543.325	0.000	
26	1675388.786	4381.878	0.000	
27	1742058.636	4218.917	0.000	
28	1807622.296	4062.581	0.000	
29	1874397.040	3923.762	0.000	
30	1941135.952	3779.862	0.000	
31	2007774.174	3655.903	0.000	
32	2074248.049	3524.887	0.000	
33	2140495.121	3399.624	0.000	
34	2206454.135	3278.625	0.000	
35	2273414.044	3173.729	0.000	
36	2340005.825	3052.429	0.000	
37	2406170.623	2943.725	0.000	
38	2473257.846	2842.868	0.000	
39	2539841.219	2755.508	0.000	
40	2605864.291	2667.427	0.000	
41	2672734.520	2575.440	0.000	
42	2738970.782	2489.902	0.000	
43	2806017.770	2401.196	0.000	
44	2872358.726	2314.772	0.000	
45	2937940.802	2241.003	0.000	
46	3004263.142	2174.164	0.000	
47	3071325.743	2100.918	0.000	
48	3137543.389	2029.634	0.000	
49	3204467.266	1965.234	0.000	
50	3270478.927	1899.474	0.000	
51	3337163.591	1835.435	0.000	
52	3402870.379	1778.830	0.000	
53	3470884.632	1713.023	0.000	
54	3536205.675	1664.772	0.000	
55	3603834.183	1597.655	0.000	
56	3670388.730	1552.511	0.000	
57	3735822.474	1499.083	0.000	
58	3801834.336	1451.666	0.000	
59	3868424.315	1400.292	0.000	
60	3935592.410	1354.371	0.000	
61	4001548.422	1317.417	0.000	
62	4068052.524	1267.562	0.000	
63	4135104.716	1231.160	0.000	
64	4200870.757	1189.772	0.000	
65	4267155.663	1150.133	0.000	
66	4333959.433	1111.238	0.000	
67	4401282.067	1084.334	0.000	
68	4467232.073	1049.978	0.000	
69	4533672.518	1015.933	0.000	
70	4600603.402	986.403	0.000	
71	4666091.595	951.397	0.000	
72	4733989.343	925.196	0.000	
73	4800416.777	886.548	0.000	
74	4865333.058	858.971	0.000	
75	4932672.507	839.072	0.000	
76	4998473.980	806.472	0.000	
77	5064711.444	789.731	0.000	
78	5131384.897	761.501	0.000	
79	5198494.340	738.773	0.000	
80	5266039.774	718.349	0.000	
81	5331954.749	691.891	0.000	
82	5398279.690	667.568	0.000	
83	5465014.598	652.068	0.000	
84	5530054.991	624.180	0.000	
85	5597597.021	608.536	0.000	
86	5663419.313	583.035	0.000	
87	5729626.349	571.728	0.000	
88	5796218.129	555.055	0.000	
89	5863194.654	537.842	0.000	
90	5930555.923	516.269	0.000	
91	5996110.575	502.763	0.000	
92	6062025.550	491.459	0.000	
93	6128300.847	468.567	0.000	
94	6194936.466	458.565	0.000	
95	6261932.408	441.533	0.000	
96	6329288.672	426.883	0.000	
97	6394742.234	416.466	0.000	
98	6462807.133	405.240	0.000	
99	6528945.707	394.714	0.000	
100	6595420.983	386.057	0.000	
101	6662232.961	370.389	0.000	
102	6727060.562	361.968	0.000	
103	6794534.332	345.125	0.000	
104	6860000.905	340.236	0.000	
105	6928136.467	329.884	0.000	
106	6994242.012	317.919	0.000	
107	7060661.438	305.073	0.000	
108	7127394.745	301.569	0.000	
109	7192041.986	291.628	0.000	
110	7259391.844	271.246	0.000	
111	7327055.583	270.039	0.000	
112	7392600.027	259.632	0.000	
113	7458436.331	252.749	0.000	
114	7524564.497	247.138	0.000	
115	7590984.523	237.010	0.000	
116	7657696.411	227.774	0.000	
117	7724700.160	226.462	0.000	
118	7791995.770	220.169	0.000	
119	7857074.797	213.052	0.000	
120	7924943.319	202.746	0.000	
121	7990574.040	201.414	0.000	
122	8056475.402	194.394	0.000	
123	8122647.407	185.746	0.000	
124	8189090.054	181.610	0.000	
125	8255803.343	176.076	0.000	
126	8322787.274	170.010	0.000	
127	8390041.847	168.368	0.000	
128	8457567.062	160.233	0.000	
