#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.547,3.424)		
1	13532.107	12211.010	0.000	
2	79956.338	11514.051	0.000	
3	146335.928	10932.325	0.000	
4	212782.579	10411.605	0.000	
5	279202.005	9919.413	0.000	
6	345628.437	9465.181	0.000	
7	412213.811	9007.819	0.000	
8	478451.275	8594.570	0.000	
9	544987.605	8228.091	0.000	
10	611648.047	7855.081	0.000	
11	677726.368	7497.138	0.000	
12	744874.646	7168.704	0.000	
13	811159.552	6845.901	0.000	
14	877752.533	6538.147	0.000	
15	944361.729	6257.440	0.000	
16	1010706.088	6023.574	0.000	
17	1076515.368	5742.236	0.000	
18	1143443.049	5510.129	0.000	
19	1209434.892	5295.161	0.000	
20	1276266.888	5049.959	0.000	
21	1342821.435	4871.986	0.000	
22	1408942.394	4673.949	0.000	
23	1475565.202	4487.476	0.000	
24	1542615.392	4289.070	0.000	
25	1608884.484	4125.873	0.000	
26	1675388.786	3967.347	0.000	
27	1742058.636	3815.974	0.000	
28	1807622.296	3684.579	0.000	
29	1874397.040	3518.211	0.000	
30	1941135.952	3393.047	0.000	
31	2007774.174	3263.112	0.000	
32	2074248.049	3167.771	0.000	
33	2140495.121	3032.151	0.000	
34	2206454.135	2918.178	0.000	
35	2273414.044	2813.875	0.000	
36	2340005.825	2703.683	0.000	
37	2406170.623	2614.715	0.000	
38	2473257.846	2498.971	0.000	
39	2539841.219	2425.942	0.000	
40	2605864.291	2337.710	0.000	
41	2672734.520	2256.860	0.000	
42	2738970.782	2167.773	0.000	
43	2806017.770	2091.366	0.000	
44	2872358.726	2027.778	0.000	
45	2937940.802	1957.302	0.000	
46	3004263.142	1889.378	0.000	
47	3071325.743	1819.986	0.000	
48	3137543.389	1758.076	0.000	
49	3204467.266	1691.364	0.000	
50	3270478.927	1642.821	0.000	
51	3337163.591	1578.238	0.000	
52	3402870.379	1525.139	0.000	
53	3470884.632	1472.541	0.000	
54	3536205.675	1425.597	0.000	
55	3603834.183	1380.006	0.000	
56	3670388.730	1328.176	0.000	
57	3735822.474	1293.034	0.000	
58	3801834.336	1239.783	0.000	
59	3868424.315	1197.601	0.000	
60	3935592.410	1160.489	0.000	
61	4001548.422	1133.680	0.000	
62	4068052.524	1086.882	0.000	
63	4135104.716	1038.781	0.000	
64	4200870.757	1009.937	0.000	
65	4267155.663	985.760	0.000	
66	4333959.433	951.029	0.000	
67	4401282.067	916.390	0.000	
68	4467232.073	896.119	0.000	
69	4533672.518	858.670	0.000	
70	4600603.402	837.722	0.000	
71	4666091.595	801.207	0.000	
72	4733989.343	764.664	0.000	
73	4800416.777	757.836	0.000	
74	4865333.058	720.062	0.000	
75	4932672.507	707.223	0.000	
76	4998473.980	693.206	0.000	
77	5064711.444	656.479	0.000	
78	5131384.897	657.435	0.000	
79	5198494.340	627.232	0.000	
80	5266039.774	591.887	0.000	
81	5331954.749	581.305	0.000	
82	5398279.690	566.069	0.000	
83	5465014.598	547.739	0.000	
84	5530054.991	527.812	0.000	
85	5597597.021	514.542	0.000	
86	5663419.313	490.037	0.000	
87	5729626.349	476.414	0.000	
88	5796218.129	463.826	0.000	
89	5863194.654	454.392	0.000	
90	5930555.923	434.025	0.000	
91	5996110.575	416.947	0.000	
92	6062025.550	406.844	0.000	
93	6128300.847	398.511	0.000	
94	6194936.466	394.021	0.000	
95	6261932.408	370.364	0.000	
96	6329288.672	361.905	0.000	
97	6394742.234	348.373	0.000	
98	6462807.133	336.854	0.000	
99	6528945.707	324.548	0.000	
100	6595420.983	314.581	0.000	
101	6662232.961	312.449	0.000	
102	6727060.562	294.565	0.000	
103	6794534.332	277.849	0.000	
104	6860000.905	280.981	0.000	
105	6928136.467	260.691	0.000	
106	6994242.012	266.537	0.000	
107	7060661.438	255.078	0.000	
108	7127394.745	242.314	0.000	
109	7192041.986	246.178	0.000	
110	7259391.844	229.392	0.000	
111	7327055.583	225.381	0.000	
112	7392600.027	218.688	0.000	
113	7458436.331	213.091	0.000	
114	7524564.497	207.519	0.000	
115	7590984.523	196.347	0.000	
116	7657696.411	201.371	0.000	
117	7724700.160	185.393	0.000	
118	7791995.770	174.073	0.000	
119	7857074.797	172.186	0.000	
120	7924943.319	160.075	0.000	
121	7990574.040	159.408	0.000	
122	8056475.402	157.258	0.000	
123	8122647.407	146.225	0.000	
124	8189090.054	146.978	0.000	
125	8255803.343	149.791	0.000	
126	8322787.274	144.615	0.000	
127	8390041.847	132.433	0.000	
128	8457567.062	139.404	0.000	

