#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.585,3.436)		
1	8182.757	14838.812	0.000	
2	48348.959	14496.352	0.000	
3	88488.167	14225.761	0.000	
4	128667.925	13973.398	0.000	
5	168831.222	13707.994	0.000	
6	208998.754	13444.980	0.000	
7	249262.399	13224.358	0.000	
8	289315.663	12904.697	0.000	
9	329549.651	12699.161	0.000	
10	369858.687	12488.345	0.000	
11	409815.720	12235.849	0.000	
12	450419.748	12009.086	0.000	
13	490501.700	11790.250	0.000	
14	530769.944	11551.016	0.000	
15	571047.993	11398.059	0.000	
16	611165.897	11163.806	0.000	
17	650960.243	10923.054	0.000	
18	691430.876	10725.185	0.000	
19	731335.617	10542.127	0.000	
20	771748.391	10383.167	0.000	
21	811993.393	10159.276	0.000	
22	851976.209	9941.990	0.000	
23	892262.489	9801.923	0.000	
24	932807.203	9594.266	0.000	
25	972879.593	9444.599	0.000	
26	1013094.214	9308.379	0.000	
27	1053408.939	9104.830	0.000	
28	1093054.761	8919.641	0.000	
29	1133432.915	8749.638	0.000	
30	1173789.402	8625.902	0.000	
31	1214085.002	8490.971	0.000	
32	1254281.223	8302.320	0.000	
33	1294340.298	8153.240	0.000	
34	1334225.187	7987.807	0.000	
35	1374715.310	7831.447	0.000	
36	1414982.827	7679.549	0.000	
37	1454992.152	7582.789	0.000	
38	1495559.260	7410.675	0.000	
39	1535821.694	7262.712	0.000	
40	1575745.318	7151.930	0.000	
41	1616181.211	7013.105	0.000	
42	1656233.750	6887.887	0.000	
43	1696776.527	6775.379	0.000	
44	1736892.373	6671.266	0.000	
45	1776549.331	6471.812	0.000	
46	1816653.920	6364.108	0.000	
47	1857206.139	6272.731	0.000	
48	1897247.421	6182.480	0.000	
49	1937715.755	6068.180	0.000	
50	1977632.479	5934.655	0.000	
51	2017956.162	5818.565	0.000	
52	2057688.532	5726.935	0.000	
53	2098816.207	5613.398	0.000	
54	2138315.320	5537.149	0.000	
55	2179209.739	5403.783	0.000	
56	2219454.742	5317.594	0.000	
57	2259022.004	5235.373	0.000	
58	2298938.849	5126.664	0.000	
59	2339205.277	5031.606	0.000	
60	2379821.288	4937.051	0.000	
61	2419704.361	4840.413	0.000	
62	2459918.860	4761.388	0.000	
63	2500464.785	4669.943	0.000	
64	2540232.985	4576.804	0.000	
65	2580314.938	4463.972	0.000	
66	2620710.644	4410.509	0.000	
67	2661420.103	4320.715	0.000	
68	2701299.545	4237.709	0.000	
69	2741475.551	4171.750	0.000	
70	2781948.122	4074.446	0.000	
71	2821548.309	4021.684	0.000	
72	2862605.535	3918.638	0.000	
73	2902773.673	3864.140	0.000	
74	2942028.030	3789.334	0.000	
75	2982747.657	3724.301	0.000	
76	3022537.282	3660.943	0.000	
77	3062590.547	3599.164	0.000	
78	3102907.451	3526.970	0.000	
79	3143487.996	3479.253	0.000	
80	3184332.180	3403.372	0.000	
81	3224190.438	3339.098	0.000	
82	3264296.600	3285.317	0.000	
83	3304650.666	3225.658	0.000	
84	3343980.072	3165.801	0.000	
85	3384822.198	3091.724	0.000	
86	3424624.412	3045.250	0.000	
87	3464659.278	2978.668	0.000	
88	3504926.795	2927.628	0.000	
89	3545426.965	2875.237	0.000	
90	3586159.786	2808.760	0.000	
91	3625800.160	2766.173	0.000	
92	3665658.419	2715.672	0.000	
93	3705734.561	2666.229	0.000	
94	3746028.588	2608.310	0.000	
95	3786540.499	2573.809	0.000	
96	3827270.294	2524.719	0.000	
97	3866849.540	2466.501	0.000	
98	3908007.840	2431.070	0.000	
99	3948001.308	2376.401	0.000	
100	3988198.376	2338.634	0.000	
101	4028599.045	2312.205	0.000	
102	4067799.778	2253.529	0.000	
103	4108600.627	2212.313	0.000	
104	4148187.741	2182.851	0.000	
105	4189388.771	2124.205	0.000	
106	4229362.266	2096.692	0.000	
107	4269525.562	2046.091	0.000	
108	4309878.660	2018.542	0.000	
109	4348970.330	1980.354	0.000	
110	4389696.251	1941.230	0.000	
111	4430611.974	1899.339	0.000	
112	4470246.175	1858.717	0.000	
113	4510056.862	1836.311	0.000	
114	4550044.035	1796.847	0.000	
115	4590207.695	1772.848	0.000	
116	4630547.840	1736.805	0.000	
117	4671064.472	1696.467	0.000	
118	4711757.590	1672.975	0.000	
119	4751110.357	1638.541	0.000	
120	4792149.911	1602.540	0.000	
121	4831836.283	1581.766	0.000	
122	4871686.310	1554.347	0.000	
123	4911699.993	1523.424	0.000	
124	4951877.331	1493.219	0.000	
125	4992218.324	1460.181	0.000	
126	5032722.972	1444.796	0.000	
127	5073391.275	1413.003	0.000	
128	5114223.233	1382.452	0.000	
