#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.561,3.434)		
1	6629.973	15465.396	0.000	
2	39174.120	14934.162	0.000	
3	71696.396	14397.808	0.000	
4	104251.527	13865.444	0.000	
5	136793.319	13414.730	0.000	
6	169338.545	12890.045	0.000	
7	201961.643	12517.357	0.000	
8	234414.284	12079.979	0.000	
9	267013.354	11681.599	0.000	
10	299673.230	11276.751	0.000	
11	332047.901	10911.103	0.000	
12	364946.790	10503.158	0.000	
13	397422.676	10195.741	0.000	
14	430049.501	9827.347	0.000	
15	462684.270	9525.805	0.000	
16	495189.284	9159.116	0.000	
17	527432.139	8926.611	0.000	
18	560222.948	8545.382	0.000	
19	592555.250	8337.675	0.000	
20	625299.178	8032.115	0.000	
21	657907.173	7747.762	0.000	
22	690302.733	7452.392	0.000	
23	722944.172	7236.692	0.000	
24	755795.004	6973.679	0.000	
25	788263.141	6758.593	0.000	
26	820846.518	6538.004	0.000	
27	853511.005	6309.532	0.000	
28	885633.520	6109.536	0.000	
29	918349.399	5919.284	0.000	
30	951047.722	5700.867	0.000	
31	983696.712	5511.777	0.000	
32	1016265.181	5343.452	0.000	
33	1048722.530	5149.312	0.000	
34	1081038.747	4993.122	0.000	
35	1113845.346	4793.268	0.000	
36	1146471.583	4674.703	0.000	
37	1178888.622	4503.570	0.000	
38	1211757.598	4326.910	0.000	
39	1244379.716	4203.410	0.000	
40	1276727.317	4062.970	0.000	
41	1309489.978	3902.540	0.000	
42	1341942.031	3798.145	0.000	
43	1374791.294	3662.039	0.000	
44	1407294.640	3532.494	0.000	
45	1439426.179	3433.362	0.000	
46	1471920.405	3320.533	0.000	
47	1504777.317	3229.705	0.000	
48	1537220.249	3103.824	0.000	
49	1570009.194	2986.700	0.000	
50	1602351.205	2894.960	0.000	
51	1635022.949	2799.836	0.000	
52	1667215.590	2694.887	0.000	
53	1700538.758	2605.682	0.000	
54	1732542.405	2522.555	0.000	
55	1765676.580	2444.692	0.000	
56	1798284.574	2359.645	0.000	
57	1830343.438	2289.527	0.000	
58	1862685.547	2221.237	0.000	
59	1895310.901	2131.431	0.000	
60	1928219.500	2072.167	0.000	
61	1960534.246	1993.858	0.000	
62	1993117.525	1930.900	0.000	
63	2025969.337	1867.797	0.000	
64	2058191.008	1815.581	0.000	
65	2090666.894	1736.568	0.000	
66	2123396.993	1689.390	0.000	
67	2156381.307	1631.262	0.000	
68	2188693.111	1582.260	0.000	
69	2221245.201	1527.112	0.000	
70	2254037.580	1474.044	0.000	
71	2286123.120	1438.988	0.000	
72	2319389.208	1375.987	0.000	
73	2351934.924	1332.292	0.000	
74	2383740.260	1290.072	0.000	
75	2416732.813	1249.382	0.000	
76	2448971.843	1207.098	0.000	
77	2481424.484	1173.737	0.000	
78	2514090.736	1141.427	0.000	
79	2546970.599	1092.981	0.000	
80	2580064.072	1054.700	0.000	
81	2612358.712	1018.677	0.000	
82	2644854.212	992.859	0.000	
83	2677550.574	959.446	0.000	
84	2709416.717	931.181	0.000	
85	2742508.523	891.931	0.000	
86	2774757.754	869.231	0.000	
87	2807195.487	842.361	0.000	
88	2839821.724	808.742	0.000	
89	2872636.464	772.887	0.000	
90	2905639.706	752.017	0.000	
91	2937757.808	736.571	0.000	
92	2970052.448	708.140	0.000	
93	3002523.626	678.178	0.000	
94	3035171.341	664.831	0.000	
95	3067995.594	635.823	0.000	
96	3100996.385	616.929	0.000	
97	3133064.959	595.966	0.000	
98	3166412.941	578.180	0.000	
99	3198817.132	561.712	0.000	
100	3231386.288	541.868	0.000	
101	3264120.409	525.588	0.000	
102	3295882.297	512.920	0.000	
103	3328940.659	492.058	0.000	
104	3361015.607	474.215	0.000	
105	3394398.210	460.583	0.000	
106	3426786.219	443.116	0.000	
107	3459328.012	431.111	0.000	
108	3492023.588	424.219	0.000	
109	3523697.110	402.755	0.000	
110	3556694.762	393.270	0.000	
111	3589846.199	377.098	0.000	
112	3621959.299	366.916	0.000	
113	3654215.395	352.445	0.000	
114	3686614.486	345.580	0.000	
115	3719156.573	329.564	0.000	
116	3751841.655	321.186	0.000	
117	3784669.734	306.950	0.000	
118	3817640.807	296.867	0.000	
119	3849525.880	287.677	0.000	
120	3882777.648	280.977	0.000	
121	3914933.020	269.790	0.000	
122	3947220.990	265.762	0.000	
123	3979641.560	258.954	0.000	
124	4012194.730	246.579	0.000	
125	4044880.499	239.848	0.000	
126	4077698.868	231.648	0.000	
127	4110649.836	222.361	0.000	
128	4143733.403	222.309	0.000	
