#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.584,3.427)		
1	10816.945	13271.000	0.000	
2	63913.423	12595.030	0.000	
3	116974.217	12195.638	0.000	
4	170088.617	11705.868	0.000	
5	223181.254	11282.427	0.000	
6	276279.492	10768.807	0.000	
7	329504.781	10329.034	0.000	
8	382451.966	9968.940	0.000	
9	435638.052	9616.016	0.000	
10	488923.346	9200.997	0.000	
11	541743.320	8868.959	0.000	
12	595418.568	8569.658	0.000	
13	648403.676	8232.422	0.000	
14	701635.046	7930.371	0.000	
15	754879.376	7630.593	0.000	
16	807912.009	7368.030	0.000	
17	860516.924	7093.604	0.000	
18	914015.836	6836.816	0.000	
19	966766.684	6599.515	0.000	
20	1020189.110	6392.890	0.000	
21	1073389.757	6174.033	0.000	
22	1126243.814	5934.354	0.000	
23	1179499.026	5736.845	0.000	
24	1233095.867	5483.272	0.000	
25	1286068.334	5323.512	0.000	
26	1339228.818	5168.344	0.000	
27	1392521.632	4961.148	0.000	
28	1444930.210	4798.034	0.000	
29	1498306.872	4647.084	0.000	
30	1551654.892	4518.422	0.000	
31	1604922.425	4365.476	0.000	
32	1658058.586	4195.113	0.000	
33	1711013.452	4062.152	0.000	
34	1763738.057	3944.024	0.000	
35	1817262.732	3819.849	0.000	
36	1870493.142	3695.650	0.000	
37	1923382.242	3577.491	0.000	
38	1977008.686	3466.357	0.000	
39	2030232.375	3344.309	0.000	
40	2083008.184	3244.864	0.000	
41	2136461.173	3130.864	0.000	
42	2189407.398	3029.521	0.000	
43	2243001.679	2940.823	0.000	
44	2296031.591	2862.290	0.000	
45	2348454.890	2760.896	0.000	
46	2401469.921	2687.648	0.000	
47	2455076.683	2602.666	0.000	
48	2508008.027	2519.897	0.000	
49	2561503.899	2437.566	0.000	
50	2614270.588	2369.280	0.000	
51	2667575.244	2307.364	0.000	
52	2720098.232	2226.924	0.000	
53	2774465.701	2179.520	0.000	
54	2826680.342	2103.807	0.000	
55	2880739.464	2040.538	0.000	
56	2933940.111	1979.192	0.000	
57	2986244.839	1930.030	0.000	
58	3039011.688	1862.110	0.000	
59	3092240.658	1811.424	0.000	
60	3145931.747	1754.627	0.000	
61	3198653.953	1708.885	0.000	
62	3251814.276	1657.937	0.000	
63	3305412.718	1613.589	0.000	
64	3357983.069	1564.999	0.000	
65	3410968.178	1524.884	0.000	
66	3464368.042	1489.142	0.000	
67	3518182.662	1433.744	0.000	
68	3570900.067	1399.181	0.000	
69	3624009.506	1355.751	0.000	
70	3677510.979	1314.926	0.000	
71	3729859.232	1279.639	0.000	
72	3784133.572	1244.681	0.000	
73	3837232.610	1213.256	0.000	
74	3889123.703	1176.344	0.000	
75	3942951.765	1142.014	0.000	
76	3995550.439	1113.587	0.000	
77	4048497.624	1082.290	0.000	
78	4101793.319	1055.167	0.000	
79	4155437.525	1021.960	0.000	
80	4209430.241	994.518	0.000	
81	4262119.643	967.035	0.000	
82	4315136.754	939.517	0.000	
83	4368481.573	917.713	0.000	
84	4420471.875	887.157	0.000	
85	4474461.870	865.279	0.000	
86	4527077.186	856.141	0.000	
87	4580000.049	821.791	0.000	
88	4633230.458	795.115	0.000	
89	4686768.415	780.719	0.000	
90	4740613.918	754.312	0.000	
91	4793015.295	735.496	0.000	
92	4845704.697	716.473	0.000	
93	4898682.125	696.760	0.000	
94	4951947.577	674.447	0.000	
95	5005501.055	658.646	0.000	
96	5059342.558	642.703	0.000	
97	5111663.128	625.311	0.000	
98	5166071.080	605.642	0.000	
99	5218939.218	593.610	0.000	
100	5272076.500	570.052	0.000	
101	5325482.925	561.294	0.000	
102	5377303.131	548.121	0.000	
103	5431238.562	525.486	0.000	
104	5483569.533	517.037	0.000	
105	5538033.970	508.069	0.000	
106	5590875.706	490.129	0.000	
107	5643968.343	476.347	0.000	
108	5697311.883	467.119	0.000	
109	5748987.916	457.904	0.000	
110	5802824.299	442.256	0.000	
111	5856911.583	429.925	0.000	
112	5909304.800	417.777	0.000	
113	5961931.316	405.782	0.000	
114	6014791.134	401.980	0.000	
115	6067884.251	384.190	0.000	
116	6121210.669	375.694	0.000	
117	6174770.387	364.935	0.000	
118	6228563.406	355.939	0.000	
119	6280584.590	349.885	0.000	
120	6334835.568	340.012	0.000	
121	6387297.751	327.633	0.000	
122	6439976.272	323.120	0.000	
123	6492871.132	310.320	0.000	
124	6545982.331	306.616	0.000	
125	6599309.869	294.903	0.000	
126	6652853.746	284.001	0.000	
127	6706613.962	286.958	0.000	
128	6760590.517	275.502	0.000	
