#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.557,3.422)		
1	10151.915	12940.426	0.000	
2	59984.000	12477.532	0.000	
3	109782.597	12095.030	0.000	
4	159631.502	11720.590	0.000	
5	209459.983	11360.041	0.000	
6	259293.721	11021.642	0.000	
7	309246.698	10671.779	0.000	
8	358938.670	10333.998	0.000	
9	408854.854	10031.247	0.000	
10	458864.147	9743.314	0.000	
11	508436.729	9470.063	0.000	
12	558812.002	9167.090	0.000	
13	608539.565	8944.963	0.000	
14	658498.249	8698.302	0.000	
15	708469.097	8432.235	0.000	
16	758241.262	8209.629	0.000	
17	807612.007	8000.286	0.000	
18	857821.786	7780.899	0.000	
19	907329.490	7573.412	0.000	
20	957467.485	7370.570	0.000	
21	1007397.335	7184.695	0.000	
22	1057001.904	7005.390	0.000	
23	1106982.964	6813.710	0.000	
24	1157284.651	6633.439	0.000	
25	1207000.350	6473.950	0.000	
26	1256892.506	6303.848	0.000	
27	1306908.858	6145.764	0.000	
28	1356095.336	5982.298	0.000	
29	1406190.380	5822.156	0.000	
30	1456258.543	5685.236	0.000	
31	1506251.167	5545.348	0.000	
32	1556120.496	5392.749	0.000	
33	1605819.676	5273.318	0.000	
34	1655302.752	5130.419	0.000	
35	1705536.709	4997.202	0.000	
36	1755494.492	4890.437	0.000	
37	1805131.949	4744.501	0.000	
38	1855461.419	4644.318	0.000	
39	1905412.894	4519.343	0.000	
40	1954944.027	4409.850	0.000	
41	2005110.705	4312.326	0.000	
42	2054801.775	4190.137	0.000	
43	2105101.059	4088.892	0.000	
44	2154870.671	3992.798	0.000	
45	2204070.966	3897.692	0.000	
46	2253826.611	3804.775	0.000	
47	2304137.609	3701.663	0.000	
48	2353814.713	3630.750	0.000	
49	2404021.638	3523.711	0.000	
50	2453544.211	3451.850	0.000	
51	2503571.676	3349.848	0.000	
52	2552865.529	3279.389	0.000	
53	2603890.465	3188.850	0.000	
54	2652894.929	3127.195	0.000	
55	2703630.475	3028.417	0.000	
56	2753560.326	2962.342	0.000	
57	2802649.339	2902.488	0.000	
58	2852172.062	2830.210	0.000	
59	2902128.493	2756.039	0.000	
60	2952518.634	2687.866	0.000	
61	3001999.457	2637.862	0.000	
62	3051891.463	2563.072	0.000	
63	3102194.651	2501.136	0.000	
64	3151532.958	2438.982	0.000	
65	3201260.520	2385.158	0.000	
66	3251377.340	2323.669	0.000	
67	3301883.417	2267.399	0.000	
68	3351359.735	2218.310	0.000	
69	3401203.985	2170.137	0.000	
70	3451416.167	2106.611	0.000	
71	3500546.028	2058.815	0.000	
72	3551483.561	2007.831	0.000	
73	3601318.049	1954.878	0.000	
74	3650018.857	1915.794	0.000	
75	3700537.549	1849.755	0.000	
76	3749902.436	1815.042	0.000	
77	3799594.407	1780.474	0.000	
78	3849613.462	1719.476	0.000	
79	3899959.601	1681.134	0.000	
80	3950632.824	1636.779	0.000	
81	4000082.861	1597.436	0.000	
82	4049840.459	1553.645	0.000	
83	4099905.618	1522.122	0.000	
84	4148699.536	1478.780	0.000	
85	4199370.205	1441.736	0.000	
86	4248750.711	1404.898	0.000	
87	4298419.855	1371.738	0.000	
88	4348377.638	1333.822	0.000	
89	4398624.060	1295.564	0.000	
90	4449159.121	1273.423	0.000	
91	4498338.841	1246.876	0.000	
92	4547788.878	1208.908	0.000	
93	4597509.233	1170.766	0.000	
94	4647499.904	1144.626	0.000	
95	4697760.893	1122.016	0.000	
96	4748292.200	1089.763	0.000	
97	4797396.081	1062.527	0.000	
98	4848459.011	1042.859	0.000	
99	4898076.795	1025.177	0.000	
100	4947947.175	996.738	0.000	
101	4998070.152	975.948	0.000	
102	5046704.432	948.317	0.000	
103	5097323.892	922.517	0.000	
104	5146437.534	898.343	0.000	
105	5197553.477	880.420	0.000	
106	5247146.482	856.524	0.000	
107	5296974.963	838.560	0.000	
108	5347038.921	811.947	0.000	
109	5395537.892	799.278	0.000	
110	5446064.392	772.215	0.000	
111	5496826.369	757.317	0.000	
112	5545998.430	742.458	0.000	
113	5595389.448	725.014	0.000	
114	5644999.423	711.728	0.000	
115	5694828.355	691.380	0.000	
116	5744876.244	678.882	0.000	
117	5795143.090	654.659	0.000	
118	5845628.893	643.591	0.000	
119	5894451.794	631.815	0.000	
120	5945367.401	613.625	0.000	
121	5994604.188	594.342	0.000	
122	6044044.013	577.170	0.000	
123	6093686.877	561.024	0.000	
124	6143532.778	553.657	0.000	
125	6193581.719	542.416	0.000	
126	6243833.697	526.291	0.000	
127	6294288.714	509.215	0.000	
128	6344946.769	499.758	0.000	
